date,state,city,county,age,sex,vehicle_related,circumstance,location,activity,comments
2014-09-28,UT,Cisco,Mesa,57,F,NA,"Victim was a passenger in a Jeep that was crossing Bittercreek
  Wash about 2.5mi west of the CO state line. Vehicle overturned, leaving
  victim trapped inside.",Road,Driving,NA
2014-09-27,UT,Springdale,Washington,34,M,NA,"Man was hiking at Zion National Park when he and his partner
  became stranded due to flash flooding.",River,Hking,NA
2014-09-22,NM,Santa Fe,Santa Fe,58,M,NA,"Local news station reporting that the body of a 58 year old man
  was found in the Santa Fe River after heavy rainfall and flash flooding.
  Reports say that he may have been sleeping in or near the river and drowned
  when he was swept away from rushing waters.",Road,Driving,NA
2014-09-22,TX,El Paso,El Paso,64,F,NA,"Woman drove straight into a ditch, which was not visable because
  it had filled with rain water, making it difficult to distinguish where the
  road ended.",Road,Driving,NA
2014-09-19,NM,Loving,Eddy,39,M,NA,"Crew finished working in an oilfield around 2am and began
  heading home. Due to flooding in the area, the vehicle he was driving was
  unable to cross an intersection in high water.",Road,Driving,NA
2014-09-18,TX,Austin,Travis,35,F,NA,"Sheriff's deputy was checking low-water crossings during the
  storms. She radioed to say her patrol car was being washed away.",Road,Driving,NA
2014-09-16,CA,Joshua Tree,San Bernadino,66,M,NA,Man drove around stopped traffic and through a flooded wash.,Road,Driving,NA
2014-09-08,AZ,Tucson,Pima,53,F,NA,"Car submerged in a residential area, then swept away about two
  blocks.",Road,Driving,NA
2014-09-08,AZ,Oracle Junction,Pinal,76,F,NA,"Victim and her husband attempted to cross a flooded wash and she
  was swept away.",Road,Driving,NA
2014-08-12,OR,Chododendron,Clackamas,34,M,NA,"Hiker was swept into the Sandy River when heavy rain caused a
  flash flood that took out a bridge he was standing along.",Hiking,On Bridge,NA
2014-08-11,MI,Warren,Macomb,100,F,NA,"Woman was found in her flooded condo basement. May have been
  trying to clean it up.",Home,In Basement,NA
2014-08-11,MI,Oak Park,Oakland,68,M,NA,"Victim suffered heart attack while pushing his car out of flood
  waters.",Road,Driving,NA
2014-08-09,SC,Greenvile,Greenville,39,M,NA,"Witness saw a couple get out of their car in rising flood waters
  near Haywood Mal, and were pulled off their feet into a storm pipe.",Road,Driving,NA
2014-08-09,SC,Greenvile,Greenville,36,F,NA,"""",Road,Driving,NA
