"place_name","place_name_ascii"
"Recon, Col de","Recon, Col de"
"Lucelle","Lucelle"
"Les Cornettes de Bise","Les Cornettes de Bise"
"Ruisseau le Lertzbach","Ruisseau le Lertzbach"
"Le Cheval Blanc","Le Cheval Blanc"
"Jougnena","Jougnena"
"Lac des Brenets","Lac des Brenets"
"London","London"
"Saar River","Saar River"
"Rosselle","Rosselle"
"Oberer Mundatwald","Oberer Mundatwald"
"Nied","Nied"
"Lautersberg","Lautersberg"
"Horn","Horn"
"Ruisseau de Diersdorff","Ruisseau de Diersdorff"
"Blies","Blies"
"Bisten","Bisten"
"Bickenalbe","Bickenalbe"
"Langenberg","Langenberg"
"Ruisseau de Dudelange","Ruisseau de Dudelange"
"Peyrat-le-Château","Peyrat-le-Chateau"
"Soule","Soule"
"Île Boucheau","Ile Boucheau"
"Val Godemard","Val Godemard"
"Domecy-sur-le-Vault","Domecy-sur-le-Vault"
"Blaye","Blaye"
"Zuytpeene","Zuytpeene"
"Zuydcoote","Zuydcoote"
"Zutzendorf","Zutzendorf"
"Zutkerque","Zutkerque"
"Zudausques","Zudausques"
"Cima del Zuccarello","Cima del Zuccarello"
"Zuani","Zuani"
"Zoza","Zoza"
"Zoufftgen","Zoufftgen"
"Zouafques","Zouafques"
"Zoteux","Zoteux"
"Zoteux","Zoteux"
"Pointe de Zorpi","Pointe de Zorpi"
"Zorn","Zorn"
"Forêt de Zonza","Foret de Zonza"
"Zonza","Zonza"
"Zonza","Zonza"
"Zommange","Zommange"
"Zollingen","Zollingen"
"Zoebersdorf","Zoebersdorf"
"Cap de Zivia","Cap de Zivia"
"Zittersheim","Zittersheim"
"Zintzel du Sud","Zintzel du Sud"
"Zintzel du Nord","Zintzel du Nord"
"Zinswiller","Zinswiller"
"Ruisseau de Zingajo","Ruisseau de Zingajo"
"Zincourt","Zincourt"
"Zimming","Zimming"
"Zimmersheim","Zimmersheim"
"Zimmerbach","Zimmerbach"
"Zillisheim","Zillisheim"
"Zilling","Zilling"
"Zilia","Zilia"
"Îlot Ziglione","Ilot Ziglione"
