"ROW" "Region" "Years" "mdr" "region"
"1" "EAST NORTH CENTRAL" "1999-2003" 11.6056840035331 "illinois"
"2" "EAST NORTH CENTRAL" "1999-2003" 11.6056840035331 "indiana"
"3" "EAST NORTH CENTRAL" "1999-2003" 11.6056840035331 "michigan"
"4" "EAST NORTH CENTRAL" "1999-2003" 11.6056840035331 "ohio"
"5" "EAST NORTH CENTRAL" "1999-2003" 11.6056840035331 "wisconsin"
"6" "NORTHEAST" "1999-2003" 12.821082500911 "maine"
"7" "NORTHEAST" "1999-2003" 12.821082500911 "massachusetts"
"8" "NORTHEAST" "1999-2003" 12.821082500911 "new jersey"
"9" "NORTHEAST" "1999-2003" 12.821082500911 "new york"
"10" "NORTHEAST" "1999-2003" 12.821082500911 "pennsylvania"
"11" "NORTHEAST" "1999-2003" 12.821082500911 "rhode island"
"12" "NORTHEAST" "1999-2003" 12.821082500911 "vermont"
"13" "NORTHEAST" "1999-2003" 12.821082500911 "new hampshire"
"14" "NORTHEAST" "1999-2003" 12.821082500911 "connecticut"
"15" "SOUTH ATLANTIC" "1999-2003" 19.8348965203702 "delaware"
"16" "SOUTH ATLANTIC" "1999-2003" 19.8348965203702 "florida"
"17" "SOUTH ATLANTIC" "1999-2003" 19.8348965203702 "georgia"
"18" "SOUTH ATLANTIC" "1999-2003" 19.8348965203702 "west virginia"
"19" "SOUTH ATLANTIC" "1999-2003" 19.8348965203702 "north carolina"
"20" "SOUTH ATLANTIC" "1999-2003" 19.8348965203702 "south carolina"
"21" "SOUTH ATLANTIC" "1999-2003" 19.8348965203702 "virginia"
"22" "SOUTH ATLANTIC" "1999-2003" 19.8348965203702 "maryland"
"23" "SOUTH ATLANTIC" "1999-2003" 19.8348965203702 "washington, dc"
"24" "SOUTH CENTRAL" "1999-2003" 11.3806524012671 "alabama"
"25" "SOUTH CENTRAL" "1999-2003" 11.3806524012671 "arkansas"
"26" "SOUTH CENTRAL" "1999-2003" 11.3806524012671 "kentucky"
"27" "SOUTH CENTRAL" "1999-2003" 11.3806524012671 "louisana"
"28" "SOUTH CENTRAL" "1999-2003" 11.3806524012671 "mississippi"
"29" "SOUTH CENTRAL" "1999-2003" 11.3806524012671 "oklahoma"
"30" "SOUTH CENTRAL" "1999-2003" 11.3806524012671 "tennessee"
"31" "SOUTH CENTRAL" "1999-2003" 11.3806524012671 "texas"
"32" "WEST" "1999-2003" 8.55554043610774 "california"
"33" "WEST" "1999-2003" 8.55554043610774 "colorado"
"34" "WEST" "1999-2003" 8.55554043610774 "hawaii"
"35" "WEST" "1999-2003" 8.55554043610774 "new mexico"
"36" "WEST" "1999-2003" 8.55554043610774 "oregon"
