msp_module,port,name
appletv_display_image.rb,7000,Apple TV Image Remote Control
appletv_display_video.rb,7000,Apple TV Video Remote Control
atg_client.rb,10001,Veeder-Root Automatic Tank Gauge (ATG) Administrative Client
dump.rb,10000,Veritas Backup Exec Windows Remote File Access
registry.rb,6106,Veritas Backup Exec Server Registry Access
chromecast_reset.rb,8008,Chromecast Factory Reset DoS
chromecast_youtube.rb,8008,Chromecast YouTube Remote Control
cisco_secure_acs_bypass.rb,443,Cisco Secure ACS Unauthorized Password Change
vpn_3000_ftp_bypass.rb,21,Cisco VPN Concentrator 3000 FTP Unauthorized Administrative Access
edirectory_dhost_cookie.rb,8030,Novell eDirectory DHOST Predictable Session Cookie
edirectory_edirutil.rb,8028,Novell eDirectory eMBox Unauthenticated File Access
alphastor_devicemanager_exec.rb,3000,EMC AlphaStor Device Manager Arbitrary Command Execution
alphastor_librarymanager_exec.rb,3500,EMC AlphaStor Library Manager Arbitrary Command Execution
firetv_youtube.rb,8008,Amazon Fire TV YouTube Remote Control
hp_data_protector_cmd.rb,5555,HP Data Protector 6.1 EXEC_CMD Command Execution
hp_ilo_create_admin_account.rb,443,HP iLO 4 1.00-2.50 Authentication Bypass Administrator Account Creation
hp_imc_som_create_account.rb,8080,HP Intelligent Management SOM Account Creation
axigen_file_access.rb,9000,Axigen Arbitrary File Read and Delete
cfme_manageiq_evm_pass_reset.rb,443,Red Hat CloudForms Management Engine 5.1 miq_policy/explorer SQL Injection
cnpilot_r_cmd_exec.rb,80,"""Cambium cnPilot r200/r201 Command Execution as "
cnpilot_r_fpt.rb,80,Cambium cnPilot r200/r201 File Path Traversal
dlink_dir_300_600_exec_noauth.rb,80,D-Link DIR-600 / DIR-300 Unauthenticated Remote Command Execution
foreman_openstack_satellite_priv_esc.rb,443,Foreman (Red Hat OpenStack/Satellite) users/create Mass Assignment
hp_web_jetadmin_exec.rb,8000,HP Web JetAdmin 6.5 Server Arbitrary Command Execution
jboss_bshdeployer.rb,8080,JBoss JMX Console Beanshell Deployer WAR Upload and Deployment
jboss_deploymentfilerepository.rb,8080,JBoss JMX Console DeploymentFileRepository WAR Upload and Deployment
jboss_seam_exec.rb,8080,JBoss Seam 2 Remote Command Execution
katello_satellite_priv_esc.rb,443,Katello (Red Hat Satellite) users/update_roles Missing Authorization
limesurvey_file_download.rb,80,"""Limesurvey Unauthenticated File Download"","
linksys_wrt54gl_exec.rb,80,Linksys WRT54GL Remote Command Execution
manageengine_dir_listing.rb,80,"""ManageEngine Multiple Products Arbitrary Directory Listing"","
manageengine_file_download.rb,80,"""ManageEngine Multiple Products Arbitrary File Download"","
manageengine_pmp_privesc.rb,7272,ManageEngine Password Manager SQLAdvancedALSearchResult.cc Pro SQL Injection
mutiny_frontend_read_delete.rb,80,Mutiny 5 Arbitrary File Read and Delete
netflow_file_download.rb,8080,ManageEngine NetFlow Analyzer Arbitrary File Download
netgear_auth_download.rb,8080,NETGEAR ProSafe Network Management System 300 Authenticated File Download
netgear_wnr2000_pass_recovery.rb,80,NETGEAR WNR2000v5 Administrator Password Recovery
nexpose_xxe_file_read.rb,3780,Nexpose XXE Arbitrary File Read
novell_file_reporter_filedelete.rb,3037,Novell File Reporter Agent Arbitrary File Delete
nuuo_nvrmini_reset.rb,8081,NUUO NVRmini 2 / NETGEAR ReadyNAS Surveillance Default Configuration Load and Administrator Password Reset
scadabr_credential_dump.rb,8080,ScadaBR Credentials Dumper
sophos_wpa_traversal.rb,443,Sophos Web Protection Appliance patience.cgi Directory Traversal
telpho10_credential_dump.rb,80,Telpho10 Backup Credentials Dumper
tomcat_administration.rb,8180,Tomcat Administration Tool Default Access
tomcat_utf8_traversal.rb,8080,Tomcat UTF-8 Directory Traversal Vulnerability
trendmicro_dlp_traversal.rb,8443,TrendMicro Data Loss Prevention 5.5 Directory Traversal
typo3_winstaller_default_enc_keys.rb,8503,TYPO3 Winstaller Default Encryption Keys
ulterius_file_download.rb,22006,Ulterius Server File Download Vulnerability
maxdb_cons_exec.rb,7210,SAP MaxDB cons.exe Remote Command Injection
sercomm_dump_config.rb,32764,"""SerComm Device Configuration Dump"","
wr850g_cred.rb,80,Motorola WR850G v4.03 Credentials
ms08_059_his2006.rb,0,Microsoft Host Integration Server 2006 Command Execution Vulnerability
netbios_spoof.rb,137,NetBIOS Response Brute Force Spoof (Direct)
tmlisten_traversal.rb,26122,TrendMicro OfficeScanNT Listener Traversal Arbitrary File Access
osb_execqr.rb,443,Oracle Secure Backup exec_qr() Command Injection Vulnerability
osb_execqr2.rb,443,Oracle Secure Backup Authentication Bypass/Command Injection Vulnerability
osb_execqr3.rb,443,Oracle Secure Backup Authentication Bypass/Command Injection Vulnerability
sid_brute.rb,1521,Oracle TNS Listener SID Brute Forcer
tnscmd.rb,1521,Oracle TNS Listener Command Issuer
sap_configservlet_exec_noauth.rb,50000,SAP ConfigServlet OS Command Execution
sap_mgmt_con_osexec.rb,50013,SAP Management Console OSExecute
ge_proficy_substitute_traversal.rb,80,GE Proficy Cimplicity WebView substitute.bcl Directory Traversal
modicon_command.rb,502,Schneider Modicon Remote START/STOP Command
modicon_password_recovery.rb,21,Schneider Modicon Quantum Password Recovery
modicon_stux_transfer.rb,502,Schneider Modicon Ladder Logic Upload/Download
moxa_credentials_recovery.rb,4800,Moxa Device Credential Retrieval
multi_cip_command.rb,44818,Allen-Bradley/Rockwell Automation EtherNet/IP CIP Commands
yokogawa_bkbcopyd_client.rb,20111,Yokogawa BKBCopyD.exe Client
file.rb,5168,TrendMicro ServerProtect File Access
tftp_transfer_util.rb,69,TFTP File Transfer Utility
poweroff_vm.rb,443,VMWare Power Off Virtual Machine
poweron_vm.rb,443,VMWare Power On Virtual Machine
tag_vm.rb,443,VMWare Tag Virtual Machine
terminate_esx_sessions.rb,443,VMWare Terminate ESX Login Sessions
edit_html_fileaccess.rb,10000,Webmin edit_html.cgi file Parameter Traversal Arbitrary File Access
file_disclosure.rb,10000,Webmin File Disclosure
java_bridge.rb,10001,Zend Server Java Bridge Design Flaw Remote Code Execution
connect.rb,8080,Hardware Bridge Session Connector
ios_http_percentpercent.rb,80,Cisco IOS HTTP GET /%% Request Denial of Service
ios_telnet_rocem.rb,23,Cisco IOS Telnet Denial of Service
bind_tkey.rb,53,BIND TKEY Query Denial of Service
bind_tsig.rb,53,BIND TKEY Query Denial of Service
nfsd_mount.rb,2049,FreeBSD Remote NFS RPC Request Denial of Service
data_protector_rds.rb,1530,HP Data Protector Manager RDS DOS
3com_superstack_switch.rb,80,3Com SuperStack Switch Denial of Service
apache_commons_fileupload_dos.rb,8080,Apache Commons FileUpload and Apache Tomcat DoS
apache_mod_isapi.rb,80,Apache mod_isapi Dangling Pointer
apache_range_dos.rb,80,Apache Range Header DoS (Apache Killer)
apache_tomcat_transfer_encoding.rb,8000,Apache Tomcat Transfer-Encoding Information Disclosure and DoS
dell_openmanage_post.rb,1311,Dell OpenManage POST Request Heap Overflow (win32)
monkey_headers.rb,2001,Monkey HTTPD Header Parsing Denial of Service (DoS)
nodejs_pipelining.rb,80,Node.js HTTP Pipelining Denial of Service
novell_file_reporter_heap_bof.rb,3037,NFR Agent Heap Overflow Vulnerability
rails_action_view.rb,80,Ruby on Rails Action View MIME Memory Exhaustion
sonicwall_ssl_format.rb,443,SonicWALL SSL-VPN Format String Vulnerability
ua_parser_js_redos.rb,80,ua-parser-js npm module ReDoS
ws_dos.rb,3000,ws - Denial of Service
dopewars.rb,7902,Dopewars Denial of Service
ibm_sametime_webplayer_dos.rb,5060,IBM Lotus Sametime WebPlayer DoS
ibm_tsm_dos.rb,11460,"""IBM Tivoli Storage Manager FastBack Server Opcode 0x534 Denial of Service"","
memcached.rb,11211,Memcached Remote Denial of Service
ms02_063_pptp_dos.rb,1723,MS02-063 PPTP Malformed Control Data Kernel Denial of Service
rpcbomb.rb,111,RPC DoS targeting *nix rpcbind/libtirpc
sap_soap_rfc_eps_delete_file.rb,8000,SAP SOAP EPS_DELETE_FILE File Deletion
beckhoff_twincat.rb,48899,Beckhoff TwinCAT SCADA PLC 2.11.0.2004 DoS
d20_tftp_overflow.rb,69,General Electric D20ME TFTP Server Buffer Overflow DoS
igss9_dataserver.rb,12401,7-Technologies IGSS 9 IGSSdataServer.exe DoS
yokogawa_logsvr.rb,52302,Yokogawa CENTUM CS 3000 BKCLogSvr.exe Heap Buffer Overflow
cascade_delete.rb,515,Solaris LPD Arbitrary File Delete
dtls_fragment_overflow.rb,4433,OpenSSL DTLS Fragment Buffer Overflow DoS
openssl_aesni.rb,443,OpenSSL TLS 1.1 and 1.2 AES-NI DoS
rsyslog_long_tag.rb,514,rsyslog Long Tag Off-By-Two DoS
synflood.rb,80,TCP SYN Flooder
miniupnpd_dos.rb,1900,MiniUPnPd 1.4 Denial of Service (DoS) Exploit
appian_bpm.rb,5400,Appian Enterprise Business Suite 5.6 SP1 DoS
iis75_ftpd_iac_bof.rb,21,Microsoft IIS FTP Server Encoded Response Overflow Trigger
solarftp_user.rb,21,Solar FTP Server Malformed USER Denial of Service
kaillera.rb,27888,Kaillera 0.86 Server Denial of Service
ms10_065_ii6_asp_dos.rb,80,Microsoft IIS 6.0 ASP Stack Exhaustion Denial of Service
ms11_030_dnsapi.rb,5355,Microsoft Windows DNSAPI.dll LLMNR Buffer Underrun DoS
nat_helper.rb,53,Microsoft Windows NAT Helper Denial of Service
ms12_020_maxchannelids.rb,3389,MS12-020 Microsoft Remote Desktop Use-After-Free DoS
ms09_050_smb2_negotiate_pidhigh.rb,445,Microsoft SRV2.SYS SMB Negotiate ProcessID Function Table Dereference
ms10_054_queryfs_pool_overflow.rb,445,Microsoft Windows SRV.SYS SrvSmbQueryFsInformation Pool Overflow DoS
ms11_019_electbowser.rb,138,Microsoft Windows Browser Pool DoS
vista_negotiate_stop.rb,445,Microsoft Vista SP0 SMB Negotiate Protocol DoS
sysax_sshd_kexchange.rb,22,Sysax Multi-Server 6.10 SSHD Key Exchange Denial of Service
pt360_write.rb,69,PacketTrap TFTP Server 2.2.5459.0 DoS
solarwinds.rb,69,SolarWinds TFTP Server 10.4.0.10 Denial of Service
capwap.rb,5247,Wireshark CAPWAP Dissector DoS
dns_fuzzer.rb,53,DNS and DNSSEC Fuzzer
ftp_pre_post.rb,21,Simple FTP Fuzzer
http_get_uri_long.rb,80,HTTP GET Request URI Fuzzer (Incrementing Lengths)
http_get_uri_strings.rb,80,HTTP GET Request URI Fuzzer (Fuzzer Strings)
ntp_protocol_fuzzer.rb,123,NTP Protocol Fuzzer
smb_negotiate_corrupt.rb,445,SMB Negotiate Dialect Corruption
smb_ntlm1_login_corrupt.rb,445,SMB NTLMv1 Login Request Corruption
smb2_negotiate_corrupt.rb,445,SMB Negotiate SMB2 Dialect Corruption
smtp_fuzzer.rb,25,SMTP Simple Fuzzer
ssh_kexinit_corrupt.rb,22,SSH Key Exchange Init Corruption
ssh_version_15.rb,22,SSH 1.5 Version Fuzzer
ssh_version_2.rb,22,SSH 2.0 Version Fuzzer
ssh_version_corrupt.rb,22,SSH Version Corruption
alienvault_iso27001_sqli.rb,443,"""AlienVault Authenticated SQL Injection Arbitrary File Read"","
alienvault_newpolicyform_sqli.rb,443,"""AlienVault Authenticated SQL Injection Arbitrary File Read"","
apache_rave_creds.rb,8080,Apache Rave User Information Disclosure
asterisk_creds.rb,5038,Asterisk Gather Credentials
checkpoint_hostname.rb,264,CheckPoint Firewall-1 SecuRemote Topology Service Hostname Disclosure
citrix_published_applications.rb,1604,Citrix MetaFrame ICA Published Applications Scanner
citrix_published_bruteforce.rb,1604,Citrix MetaFrame ICA Published Applications Bruteforcer
coldfusion_pwd_props.rb,80,"""ColdFusion "
d20pass.rb,69,General Electric D20 Password Recovery
darkcomet_filedownloader.rb,1604,DarkComet Server Remote File Download Exploit
eaton_nsm_creds.rb,4679,Network Shutdown Module sort_values Credential Dumper
emc_cta_xxe.rb,443,EMC CTA v10.0 Unauthenticated XXE Arbitrary File Read
eventlog_cred_disclosure.rb,8400,ManageEngine Eventlog Analyzer Managed Hosts Administrator Credential Disclosure
hp_enum_perfd.rb,5227,HP Operations Manager Perfd Environment Scanner
hp_snac_domain_creds.rb,443,HP ProCurve SNAC Domain Controller Credential Dumper
ibm_sametime_enumerate_users.rb,443,IBM Lotus Notes Sametime User Enumeration
ibm_sametime_room_brute.rb,443,IBM Lotus Notes Sametime Room Name Bruteforce
ibm_sametime_version.rb,443,IBM Lotus Sametime Version Enumeration
impersonate_ssl.rb,443,HTTP SSL Certificate Impersonation
java_rmi_registry.rb,1099,Java RMI Registry Interfaces Enumeration
mcafee_epo_xxe.rb,8443,McAfee ePolicy Orchestrator Authenticated XXE Credentials Exposure
memcached_extractor.rb,11211,Memcached Extractor
opennms_xxe.rb,8980,OpenNMS Authenticated XXE
qnap_backtrace_admin_hash.rb,443,QNAP NAS/NVR Administrator Hash Disclosure
snare_registry.rb,6161,Snare Lite for Windows Registry Access
solarwinds_orion_sqli.rb,8787,Solarwinds Orion AccountManagement.asmx GetAccounts Admin Creation
teamtalk_creds.rb,10333,TeamTalk Gather Credentials
windows_deployment_services_shares.rb,445,Microsoft Windows Deployment Services Unattend Gatherer
xbmc_traversal.rb,8080,"""XBMC Web Server Directory Traversal"","
energizer_duo_detect.rb,7777,Energizer DUO Trojan Scanner
chargen_probe.rb,19,Chargen Probe Utility
couchdb_enum.rb,5984,CouchDB Enum Utility
couchdb_login.rb,5984,CouchDB Login Utility
discovery.rb,523,DB2 Discovery Service Detection
endpoint_mapper.rb,135,Endpoint Mapper Service Discovery
management.rb,135,Remote Management Interface Discovery
tcp_dcerpc_auditor.rb,135,DCERPC TCP Service Auditor
windows_deployment_services.rb,5040,Microsoft Windows Deployment Services Unattend Retrieval
dlsw_leak_capture.rb,2067,Cisco DLSw Information Disclosure Scanner
dns_amp.rb,53,DNS Amplification Scanner
indices_enum.rb,9200,ElasticSearch Indices Enumeration Utility
alphastor_devicemanager.rb,3000,EMC AlphaStor Device Manager Service
alphastor_librarymanager.rb,3500,EMC AlphaStor Library Manager Service
finger_users.rb,79,Finger Service User Enumerator
anonymous.rb,21,Anonymous FTP Access Detection
ftp_login.rb,21,FTP Authentication Scanner
ftp_version.rb,21,FTP Version Scanner
titanftp_xcrc_traversal.rb,21,Titan FTP XCRC Directory Traversal Information Disclosure
gopher_gophermap.rb,70,Gopher gophermap Scanner
h323_version.rb,1720,H.323 Version Scanner
accellion_fta_statecode_file_read.rb,443,"""Accellion FTA "
adobe_xml_inject.rb,8400,Adobe XML External Entity Injection
apache_activemq_source_disclosure.rb,8161,Apache ActiveMQ JSP Files Source Disclosure
apache_activemq_traversal.rb,8161,Apache ActiveMQ Directory Traversal
atlassian_crowd_fileaccess.rb,8095,Atlassian Crowd XML Entity Expansion Remote File Access
axis_local_file_include.rb,8080,Apache Axis2 v1.4.1 Local File Inclusion
axis_login.rb,8080,Apache Axis2 Brute Force Utility
barracuda_directory_traversal.rb,8000,"Barracuda Multiple Product ""locale"" Directory Traversal"
binom3_login_config_pass_dump.rb,80,"Binom3 Web Management Login Scanner, Config and Password File Dump"
buffalo_login.rb,80,Buffalo NAS Login Utility
buildmaster_login.rb,81,Inedo BuildMaster Login Scanner
cert.rb,443,HTTP SSL Certificate Checker
chef_webui_login.rb,443,Chef Web UI Brute Force Utility
chromecast_webserver.rb,8008,Chromecast Web Server Scanner
chromecast_wifi.rb,8008,Chromecast Wifi Enumeration
cisco_asa_asdm.rb,443,Cisco ASA ASDM Bruteforce Login Utility
cisco_ironport_enum.rb,443,Cisco Ironport Bruteforce Login Utility
cisco_nac_manager_traversal.rb,443,Cisco Network Access Manager Directory Traversal Vulnerability
cisco_ssl_vpn_priv_esc.rb,443,Cisco ASA SSL VPN Privilege Escalation Vulnerability
cisco_ssl_vpn.rb,443,Cisco SSL VPN Bruteforce Login Utility
cnpilot_r_web_login_loot.rb,80,Cambium cnPilot r200/r201 Login Scanner and Config Dump
concrete5_member_list.rb,80,Concrete5 Member List Enumeration
elasticsearch_traversal.rb,9200,ElasticSearch Snapshot API Directory Traversal
epmp1000_cmd_exec.rb,80,Cambium ePMP 1000 (up to v2.5) Arbitrary Command Execution
epmp1000_dump_config.rb,80,Cambium ePMP 1000 Dump Device Config
epmp1000_dump_hashes.rb,80,"""Cambium ePMP 1000 "
epmp1000_get_chart_cmd_exec.rb,80,"""Cambium ePMP 1000 "
epmp1000_ping_cmd_exec.rb,80,"""Cambium ePMP 1000 "
epmp1000_reset_pass.rb,80,Cambium ePMP 1000 Account Password Reset
epmp1000_web_login.rb,80,Cambium ePMP 1000 Login Scanner
gavazzi_em_login_loot.rb,80,"Carlo Gavazzi Energy Meters - Login Brute Force, Extract Info and Dump Plant Database"
gitlab_login.rb,80,GitLab Login Utility
glassfish_login.rb,4848,GlassFish Brute Force Utility
goahead_traversal.rb,80,Embedthis GoAhead Embedded Web Server Directory Traversal
groupwise_agents_http_traversal.rb,7181,Novell Groupwise Agents HTTP Directory Traversal
hp_imc_bims_downloadservlet_traversal.rb,8080,HP Intelligent Management BIMS DownloadServlet Directory Traversal
hp_imc_faultdownloadservlet_traversal.rb,8080,HP Intelligent Management FaultDownloadServlet Directory Traversal
hp_imc_ictdownloadservlet_traversal.rb,8080,HP Intelligent Management IctDownloadServlet Directory Traversal
hp_imc_reportimgservlt_traversal.rb,8080,HP Intelligent Management ReportImgServlt Directory Traversal
hp_imc_som_file_download.rb,8080,HP Intelligent Management SOM FileDownloadServlet Arbitrary Download
hp_sitescope_getfileinternal_fileaccess.rb,8080,HP SiteScope SOAP Call getFileInternal Remote File Access
hp_sitescope_getsitescopeconfiguration.rb,8080,HP SiteScope SOAP Call getSiteScopeConfiguration Configuration Access
hp_sitescope_loadfilecontent_fileaccess.rb,8080,HP SiteScope SOAP Call loadFileContent Remote File Access
http_hsts.rb,443,HTTP Strict Transport Security (HSTS) Detection
influxdb_enum.rb,8086,InfluxDB Enum Utility
