frame.number,frame.time,eth.src,eth.dst,ip.src,frame.len,ip.dst,ip.proto
"1","Feb  9, 1970 02:04:19.354593000 EST","52:54:00:12:34:56","ff:ff:ff:ff:ff:ff",,"42",,
"2","Feb  9, 1970 02:04:19.354615000 EST","52:55:0a:00:02:02","52:54:00:12:34:56",,"64",,
"3","Feb  9, 1970 02:04:19.360721000 EST","52:54:00:12:34:56","52:55:0a:00:02:02","10.0.2.15","342","10.0.2.2","17"
"4","Feb  9, 1970 02:04:19.360738000 EST","52:55:0a:00:02:02","ff:ff:ff:ff:ff:ff","10.0.2.2","590","255.255.255.255","17"
"5","Feb  9, 1970 02:04:19.617335000 EST","52:54:00:12:34:56","33:33:00:00:00:16",,"90",,
"6","Feb  9, 1970 02:04:19.623168000 EST","52:54:00:12:34:56","01:00:5e:00:00:16","10.0.2.15","54","224.0.0.22","2"
"7","Feb  9, 1970 02:04:19.669351000 EST","52:54:00:12:34:56","01:00:5e:00:00:16","10.0.2.15","54","224.0.0.22","2"
"8","Feb  9, 1970 02:04:19.669826000 EST","52:54:00:12:34:56","33:33:00:00:00:16",,"90",,
"9","Feb  9, 1970 02:04:19.859297000 EST","52:54:00:12:34:56","33:33:00:00:00:16",,"90",,
"10","Feb  9, 1970 02:04:19.929695000 EST","52:54:00:12:34:56","01:00:5e:00:00:16","10.0.2.15","54","224.0.0.22","2"
"11","Feb  9, 1970 02:04:19.995207000 EST","52:54:00:12:34:56","ff:ff:ff:ff:ff:ff",,"42",,
"12","Feb  9, 1970 02:04:19.995229000 EST","52:55:0a:00:02:02","52:54:00:12:34:56",,"64",,
"13","Feb  9, 1970 02:04:20.079442000 EST","52:54:00:12:34:56","01:00:5e:00:00:16","10.0.2.15","54","224.0.0.22","2"
"14","Feb  9, 1970 02:04:20.083575000 EST","52:54:00:12:34:56","33:33:00:00:00:16",,"90",,
"15","Feb  9, 1970 02:04:20.192840000 EST","52:54:00:12:34:56","33:33:00:01:00:03",,"87",,
"16","Feb  9, 1970 02:04:20.197519000 EST","52:54:00:12:34:56","01:00:5e:00:00:fc","10.0.2.15","67","224.0.0.252","17"
"17","Feb  9, 1970 02:04:20.294462000 EST","52:54:00:12:34:56","33:33:00:01:00:03",,"87",,
"18","Feb  9, 1970 02:04:20.296157000 EST","52:54:00:12:34:56","01:00:5e:00:00:fc","10.0.2.15","67","224.0.0.252","17"
"19","Feb  9, 1970 02:04:20.452248000 EST","52:54:00:12:34:56","33:33:00:00:00:16",,"90",,
"20","Feb  9, 1970 02:04:20.452924000 EST","52:54:00:12:34:56","01:00:5e:00:00:16","10.0.2.15","54","224.0.0.22","2"
"21","Feb  9, 1970 02:04:20.458760000 EST","52:54:00:12:34:56","33:33:00:00:00:16",,"90",,
"22","Feb  9, 1970 02:04:20.461789000 EST","52:54:00:12:34:56","01:00:5e:00:00:16","10.0.2.15","54","224.0.0.22","2"
"23","Feb  9, 1970 02:04:20.462223000 EST","52:54:00:12:34:56","01:00:5e:00:00:16","10.0.2.15","54","224.0.0.22","2"
"24","Feb  9, 1970 02:04:20.462472000 EST","52:54:00:12:34:56","33:33:00:00:00:16",,"90",,
"25","Feb  9, 1970 02:04:20.482001000 EST","52:54:00:12:34:56","33:33:00:01:00:03",,"87",,
"26","Feb  9, 1970 02:04:20.486500000 EST","52:54:00:12:34:56","01:00:5e:00:00:fc","10.0.2.15","67","224.0.0.252","17"
"27","Feb  9, 1970 02:04:20.573514000 EST","52:54:00:12:34:56","33:33:00:01:00:03",,"87",,
"28","Feb  9, 1970 02:04:20.576134000 EST","52:54:00:12:34:56","01:00:5e:00:00:fc","10.0.2.15","67","224.0.0.252","17"
"29","Feb  9, 1970 02:05:28.111722000 EST","52:54:00:12:34:56","33:33:00:01:00:02",,"149",,
"30","Feb  9, 1970 02:05:28.902266000 EST","52:54:00:12:34:56","33:33:00:01:00:02",,"149",,
"31","Feb  9, 1970 02:05:30.477299000 EST","52:54:00:12:34:56","33:33:00:01:00:02",,"149",,
"32","Feb  9, 1970 02:05:33.597218000 EST","52:54:00:12:34:56","33:33:00:01:00:02",,"149",,
"33","Feb  9, 1970 02:05:39.855656000 EST","52:54:00:12:34:56","33:33:00:01:00:02",,"149",,
"34","Feb  9, 1970 02:05:52.396544000 EST","52:54:00:12:34:56","33:33:00:01:00:02",,"149",,
"35","Feb  9, 1970 02:06:17.339964000 EST","52:54:00:12:34:56","33:33:00:01:00:02",,"149",,
"36","Feb  9, 1970 02:07:17.086474000 EST","52:54:00:12:34:56","ff:ff:ff:ff:ff:ff",,"42",,
