"county","sample","state","name","exceedances"
"Mobile",20,"al","Dauphin Island Water & Sewer",1
"Monroe",23,"al","Excel Water System",1
"Washington",95,"al","Tate & Lyle Sucralose, Inc. Water System",1
"Coosa",18.3,"al","Lake Mitchell Water, Incorporated",1
"Juneau City and Borough",15.5,"ak","Thunder Mountain Mobile Park",1
"Juneau City and Borough",31,"ak","Hecla Greens Creek Hawk Inlet",1
"Ketchikan Gateway Borough",27.7,"ak","Boyer Towing",1
"Ketchikan Gateway Borough",32.9,"ak","Thorne Bay, City Of",1
"Ketchikan Gateway Borough",16.2,"ak","Clover Pass Christian School",2
"Ketchikan Gateway Borough",42.8,"ak","Clover Pass Christian School",2
"Ketchikan Gateway Borough",26.65,"ak","Wal-Mart",1
"Wrangell City and Borough",24,"ak","Kake Municipal Water",3
"Wrangell City and Borough",43.1,"ak","Kake Municipal Water",3
"Sitka City and Borough",108.05,"ak","Port Alexander Pws",1
"Anchorage Municipality",16.3,"ak","Greenbrook S/D",1
"Anchorage Municipality",226.1,"ak","Troll Knoll S/D",1
"Anchorage Municipality",72.7,"ak","Colonial Park S/D",1
"Anchorage Municipality",16.628,"ak","Eaglecrest Condos Assn.",1
"Matanuska-Susitna Borough",41,"ak","Nana Construction Llc",1
"Matanuska-Susitna Borough",29.6,"ak","Msbsd Trapper Creek Elementary",1
"Matanuska-Susitna Borough",142.5,"ak","Faith Bible Fellowship",1
"Matanuska-Susitna Borough",17,"ak","Msbsd Houston Middle School",2
"Matanuska-Susitna Borough",17.2,"ak","Msbsd Houston Middle School",2
"Matanuska-Susitna Borough",34.5,"ak","Three Bears Store 80",1
"Matanuska-Susitna Borough",22.9,"ak","Iris Circle Water Corporation",1
"Kenai Peninsula Borough",20,"ak","Kpbsd Moose Pass School",5
"Kenai Peninsula Borough",59.25,"ak","Kpbsd Moose Pass School",5
"Kenai Peninsula Borough",22.1,"ak","Seldovia Water System",1
"Kenai Peninsula Borough",15.9,"ak","Nikishka Bay",1
"Kenai Peninsula Borough",42.7,"ak","Beachside Townhouse",1
"Kenai Peninsula Borough",25.5,"ak","Voznesenka Village",1
"Kenai Peninsula Borough",27.75,"ak","Alaska Village Mission",2
"Kenai Peninsula Borough",31.8,"ak","Alaska Village Mission",2
"Kenai Peninsula Borough",32.82,"ak","Alaska Christian College",1
"Kodiak Island Borough",59.62,"ak","Port Lions",1
"Bristol Bay Borough",65,"ak","Swsd Wm Nelson School Ekwok",1
"Aleutians West Census Area",86.8,"ak","Usaf Eareckson",1
"Aleutians West Census Area",20.1,"ak","Adak Utilities",1
"Bethel Census Area",27.7,"ak","Kipnuk Water System",1
"Bethel Census Area",52.9,"ak","Yukon Kuskokwim Correctional",1
"Bethel Census Area",76.5,"ak","Native Village Of Sleetmute",1
"Bethel Census Area",130.154,"ak","Lksd Newtok Ayaprun School",2
"Bethel Census Area",161.3,"ak","Lksd Newtok Ayaprun School",2
"Yukon-Koyukuk Census Area",27.7,"ak","Yksd - Allakaket School",2
"Yukon-Koyukuk Census Area",40.2,"ak","Yksd - Allakaket School",2
"North Slope Borough",715,"ak","Nabors Alaska Alyeska Camp",1
"North Slope Borough",18.85,"ak","Afc / Nanuq Herc / Wolverine Camp",1
"North Slope Borough",26,"ak","Eni Petro Oliktok/Opp & Nikaitchuq/Noc",1
"Northwest Arctic Borough",483,"ak","Kotzebue Mun. Water System",1
"Northwest Arctic Borough",24,"ak","Selawik Safewater Facility",2
"Northwest Arctic Borough",35.47,"ak","Selawik Safewater Facility",2
