"county","population","educational_attainment","poverty_rate","pct_adults_not_working","housing_vacancy_rate","median_income_ratio","employment_change_pct","business_change_pct","distress_score","population_in_distress_count","pct_pop_in_distress","distress_rank"
"Franklin County, AL",31660,26,24,50,12,82,-2.6,-5.6,90.6,23950,76,294
"Fannin County, GA",23630,20,23,58,10,72,2.5,0,78.7,6410,27,669
"Kossuth County, IA",15350,7,9,37,11,99,2.1,-1.4,19.4,70,0,2521
"Ottawa County, OK",32090,17,23,48,12,79,0,-7.4,84.4,20750,65,488
"Susquehanna County, PA",42710,11,13,45,7,94,6.9,-1.6,24.7,5410,13,2355
"Grant County, OK",4520,10,9,42,15,105,36.6,23,12.4,0,0,2740
"Chase County, NE",3990,10,12,32,7,93,-5.3,-0.7,26,0,0,2314
"Taney County, MO",53090,15,20,47,10,78,7.3,-3.8,65.2,21640,41,1091
"Carson City, NV",54630,13,17,48,8,96,-4.2,-9.6,64.2,17790,33,1122
"Hardee County, FL",27550,35,31,55,13,77,2.1,-1.8,91.3,27360,99,274
"Cleburne County, AR",25790,15,16,55,8,99,0.3,-7.5,63.4,3100,12,1146
"Bailey County, TX",7080,35,21,36,14,80,6.8,-9.9,77.1,7030,99,716
"San Juan County, UT",14940,17,28,55,18,69,5.4,4.5,79.5,6320,42,642
"Polk County, NE",5310,7,8,34,7,104,6.2,4.2,2.9,0,0,3037
"Lebanon County, PA",135180,14,11,40,6,106,0.6,-0.3,20.9,0,0,2474
"Los Alamos County, NM",17970,3,6,38,6,236,0.3,0.3,5.3,0,0,2962
"Stephens County, OK",44900,14,15,48,12,94,7,2.8,39.7,30,0,1887
"Lincoln County, OK",34370,15,16,46,11,95,3.9,0,45.1,940,3,1718
"Cedar County, IA",18430,8,8,33,5,113,-0.3,-3.1,11.1,0,0,2783
"Franklin County, IA",10570,14,14,38,10,92,6.9,-0.6,31.7,0,0,2137
"Pratt County, KS",9760,11,12,40,8,96,1.7,3.2,18.8,280,3,2541
"Neshoba County, MS",29600,23,23,45,10,93,7.7,-2.5,58.9,4460,15,1287
"Polk County, MO",31120,15,21,49,10,82,7.1,0.5,55,3890,13,1409
"Murray County, MN",8590,10,10,39,7,88,23.4,0.6,10.2,90,1,2811
"Macon County, MO",15530,13,19,47,14,77,-0.5,-4.8,79.6,4100,26,640
"Fond du Lac County, WI",101710,10,10,36,5,103,5.6,-3.1,10.4,0,0,2803
"Trousdale County, TN",7860,24,16,46,10,83,-2.1,-5.6,74.8,5870,75,790
"Manassas city, VA",40440,17,12,31,7,110,-5.4,0.5,26.7,0,0,2293
"Midland County, TX",146390,18,10,33,7,127,33.4,9,4.4,0,0,2992
"Johnson County, TX",153850,17,13,42,8,111,10.8,3.4,15.4,17270,11,2648
"Gillespie County, TX",25180,14,13,46,10,100,5.1,4.5,27.4,0,0,2271
"Waushara County, WI",24410,14,11,49,7,83,12.8,1.7,27.9,0,0,2254
"Mohave County, AZ",202480,16,20,60,10,77,-0.6,-3,81.5,92030,46,579
"Charlotte County, FL",163150,11,13,62,11,94,-4.6,4.7,50,29840,18,1565
"Decatur County, KS",2920,10,15,45,16,72,-11.4,-1.9,72.6,0,0,858
"Cumberland County, KY",6830,27,26,55,15,71,18.9,0.9,80.7,6780,99,604
"Miner County, SD",2340,8,11,34,13,96,-18.2,-6.3,44.9,0,0,1724
"Josephine County, OR",83020,11,20,59,8,74,4.7,-5.7,70.2,11300,14,932
