"x","y","name"
8.0056049,48.7521656,"Greffern"
7.9490308,49.0383877,"Wissembourg"
7.7507127,48.584614,"Strasbourg"
7.3399355,47.7494188,"Mulhouse"
7.3625104,48.7420277,"Saverne"
7.24682,47.8,"Wittelsheim"
7.3386856,47.7923002,"Kingersheim"
7.7102193,48.5425109,"Ostwald"
7.1767542,47.8071991,"Cernay"
7.3373681,47.8080799,"Wittenheim"
7.4096138,47.7514903,"Rixheim"
7.454217,48.2594396,"Sélestat"
7.8612059,48.7663318,"Bischwiller"
7.3646258,47.7408594,"Riedisheim"
7.7552862,48.6250489,"Hœnheim"
7.3486211,47.7830669,"Illzach"
7.7500608,48.6076873,"Schiltigheim"
7.7885978,48.8172236,"Haguenau"
7.7552008,48.6121999,"Bischheim"
7.2113271,47.9094629,"Guebwiller"
7.5615765,47.5860467,"Saint-Louis"
7.7116218,48.5298611,"Illkirch-Graffenstaden"
7.6836346,48.5580427,"Lingolsheim"
7.3582193,47.8259507,"Ruelisheim"
7.2389315,47.9621141,"Soultzmatt"
7.1622187,48.1272548,"Orbey"
7.8007862,48.715118,"Weyersheim"
7.2198126,48.4795197,"Schirmeck"
7.2627649,47.8585892,"Bollwiller"
7.6636797,48.9348156,"Reichshoffen"
7.4688361,48.7544207,"Dettwiller"
7.8834603,48.9372447,"Soultz-sous-Forêts"
7.6468394,48.5155933,"Geispolsheim"
7.2157068,48.4765607,"La Broque"
8.1074055,48.895036,"Seltz"
7.9065678,48.8974813,"Betschdorf"
7.2994054,47.9569146,"Rouffach"
7.4766365,47.6354901,"Bartenheim"
7.7091101,48.7327752,"Brumath"
7.4800291,48.8254997,"Bouxwiller"
7.6986661,48.6519792,"Lampertheim"
7.5360223,47.915436,"Fessenheim"
7.2538308,47.8271307,"Staffelfelden"
7.381985,48.6904394,"Marmoutier"
7.1851184,48.2476662,"Sainte-Marie-aux-Mines"
7.2533811,47.5863563,"Hirsingue"
7.5261691,47.5624713,"Hégenheim"
7.4186559,48.2882891,"Scherwiller"
7.1247932,47.8005972,"Vieux-Thann"
7.7561385,48.7232088,"Geudertheim"
7.7153003,48.4856711,"Eschau"
7.9052738,48.7302904,"Herrlisheim"
7.6605723,48.9076941,"Gundershoffen"
7.6488066,48.5861305,"Oberschaeffolsheim"
7.1020957,47.8101008,"Thann"
7.7054878,48.3180965,"Rhinau"
7.4930563,48.5436171,"Molsheim"
7.7151005,48.6444165,"Mundolsheim"
7.3025075,47.7697441,"Pfastatt"
7.6811761,48.4913314,"Fegersheim"
7.6823034,48.8659947,"Mertzwiller"
7.5048054,47.6895561,"Kembs"
7.4817123,48.4623358,"Obernai"
7.7109609,48.6656016,"Vendenheim"
7.2813576,47.7599822,"Lutterbach"
7.1368621,48.0402368,"Munster"
7.7530758,48.6463187,"Reichstett"
7.3720907,47.787994,"Sausheim"
8.1817332,48.9736711,"Lauterbourg"
7.7358163,48.821213,"Schweighouse-sur-Moder"
7.8671359,48.7826029,"Oberhoffen-sur-Moder"
7.779797,48.7556693,"Weitbruch"
7.0903224,48.9384662,"Sarre-Union"
7.2613284,48.1393393,"Kaysersberg"
7.4013652,48.272548,"Châtenois"
7.4197101,47.7302118,"Habsheim"
7.253469,47.9024133,"Issenheim"
7.0316956,47.8730323,"Saint-Amarin"
7.7267224,48.4707922,"Plobsheim"
7.5658528,48.5264434,"Duttlenheim"
7.6857854,48.6056872,"Oberhausbergen"
7.8160867,48.7524299,"Gries"
7.2925545,48.0724515,"Wintzenheim"
7.7018376,48.3803691,"Gerstheim"
7.0814096,47.8286738,"Bitschwiller-lès-Thann"
7.6883791,48.5789238,"Eckbolsheim"
7.8293027,48.6589043,"La Wantzenau"
7.5444161,48.165441,"Marckolsheim"
7.4492116,48.6379167,"Wasselonne"
7.5683304,47.607965,"Village-Neuf"
7.378094,47.8007333,"Baldersheim"
7.6114925,48.844203,"Pfaffenhoffen"
7.278011,48.0878217,"Turckheim"
7.4698832,48.496421,"Rosheim"
7.9636887,48.8306043,"Soufflenheim"
7.2706716,47.7365524,"Morschwiller-le-Bas"
7.3248871,48.1924602,"Ribeauvillé"
7.580719,48.3589814,"Huttenheim"
7.4901898,48.4876657,"Bischoffsheim"
7.4002423,48.0805815,"Horbourg-Wihr"
7.4975826,47.6028789,"Blotzheim"
7.7416302,48.6355292,"Souffelweyersheim"
7.6249659,48.5778611,"Achenheim"
7.1702401,48.1533232,"Lapoutroie"
7.1884601,47.9277529,"Buhl"
7.3529099,47.8665246,"Ensisheim"
7.5952375,48.3707281,"Benfeld"
7.3029778,47.8359062,"Pulversheim"
7.4555778,48.5395474,"Mutzig"
7.5708155,48.7602126,"Hochfelden"
7.6672188,48.5875517,"Wolfisheim"
7.4866667,48.5258342,"Dorlisheim"
7.6447737,48.9505258,"Niederbronn-les-Bains"
7.2401542,47.6238204,"Altkirch"
7.5448609,48.0408514,"Biesheim"
7.5471221,48.0164772,"Volgelsheim"
7.7845237,48.6976096,"Hœrdt"
7.6072743,48.6636843,"Truchtersheim"
7.6632641,48.4227385,"Erstein"
7.6414717,48.5585137,"Holtzheim"
7.4900618,48.6217367,"Marlenheim"
7.5282798,48.0176804,"Neuf-Brisach"
7.5794613,47.5941514,"Huningue"
6.9958272,47.7749471,"Masevaux"
7.8826053,48.6915506,"Gambsheim"
7.4565981,47.6563327,"Sierentz"
7.9527309,48.7600845,"Drusenheim"
7.9693216,49.0293953,"Altenstadt"
7.5812733,47.6248851,"Märkt"
7.8859398,49.0247404,"Col du Pigeonnier"
7.5473468,47.7173049,"Bamlach"
7.5342213,47.7092656,"Rheinweiler"
7.5235689,47.6862094,"Kleinkems"
7.5396199,47.6584833,"Istein"
8.1832055,48.9792949,"Neulauterburg"
7.2310706,48.0998689,"Trois-Épis"
8.0710061,48.9988973,"Bienwaldmühle"
7.5019443,48.5622227,"Avolsheim"
7.4377184,48.5844903,"Balbronn"
7.4602654,48.5765876,"Bergbieten"
7.4688561,48.5719935,"Dangolsheim"
7.2691416,48.5094853,"Wisches"
7.2494491,48.4981757,"Hersbach"
7.2891663,48.5208342,"Lutzelhouse"
7.1616678,48.4933336,"Grandfontaine"
7.3255575,48.5277801,"Urmatt"
7.3417042,48.5444435,"Niederhaslach"
7.3295437,48.5503879,"Oberhaslach"
7.4041698,48.5511084,"Still"
7.4306873,48.5721753,"Flexbourg"
7.4874143,48.5708677,"Soultz-les-Bains"
7.2075011,48.456199,"Rothau"
