"congress","last","first","state","party","score"
"112th","Snowe","Olympia","ME","R",2.081488
"112th","Collins","Susan","ME","R",1.533183
"112th","Murkowski","Lisa","AK","R",1.509344
"112th","Manchin","Joe","WV","D",0.869413
"112th","Grassley","Chuck","IA","R",0.728107
"112th","Brown","Scott","MA","R",0.651887
"112th","Kirk","Mark","IL","R",0.627258
"112th","Conrad","Kent","ND","D",0.562812
"112th","McCaskill","Claire","MO","D",0.495112
"112th","Pryor","Mark","AR","D",0.404719
"112th","Begich","Mark","AK","D",0.392413
"112th","Lieberman","Joe","CT","D",0.389837
"112th","Landrieu","Mary","LA","D",0.318963
"112th","Nelson","Bill","FL","D",0.226657
"112th","Blunt","Roy","MO","R",0.223598
"112th","Shaheen","Jeanne","NH","D",0.198168
"112th","Portman","Rob","OH","R",0.185773
"112th","Nelson","Ben","NE","D",0.147509
"112th","Boozman","John","AR","R",0.037841
"112th","Isakson","Johnny","GA","R",-0.03851
"112th","Johnson","Tim","SD","D",-0.04288
"112th","Warner","Mark","VA","D",-0.04552
"112th","Alexander","Lamar","TN","R",-0.0494
"112th","Klobuchar","Amy","MN","D",-0.05525
"112th","Tester","Jon","MT","D",-0.07894
"112th","Cochran","Thad","MS","R",-0.10865
"112th","Hoeven","John","ND","R",-0.11976
"112th","Crapo","Mike","ID","R",-0.14587
"112th","Webb","Jim","VA","D",-0.14716
"112th","Udall","Mark","CO","D",-0.19511
"112th","Burr","Richard","NC","R",-0.19975
"112th","Bingaman","Jeff","NM","D",-0.24146
"112th","Kohl","Herb","WI","D",-0.25333
"112th","Cardin","Ben","MD","D",-0.27569
"112th","Carper","Tom","DE","D",-0.28793
"112th","Coburn","Tom","OK","R",-0.28924
"112th","Hutchison","Kay","TX","R",-0.29023
"112th","Johanns","Mike","NE","R",-0.3044
"112th","Wyden","Ron","OR","D",-0.31321
"112th","Corker","Bob","TN","R",-0.32468
"112th","Ayotte","Kelly","NH","R",-0.40915
"112th","Thune","John","SD","R",-0.42003
"112th","Heller","Dean","NV","R",-0.42524
"112th","Stabenow","Debbie","MI","D",-0.42837
"112th","Roberts","Pat","KS","R",-0.43788
"112th","Hagan","Kay","NC","D",-0.45734
"112th","Leahy","Patrick","VT","D",-0.46341
"112th","Lugar","Richard","IN","R",-0.51131
"112th","Cantwell","Maria","WA","D",-0.5206
"112th","Enzi","Mike","WY","R",-0.52546
"112th","Bennet","Michael","CO","D",-0.54173
"112th","Baucus","Max","MT","D",-0.54218
"112th","Moran","Jerry","KS","R",-0.56987
"112th","Whitehouse","Sheldon","RI","D",-0.57005
"112th","Kerry","John","MA","D",-0.61321
"112th","Durbin","Dick","IL","D",-0.63792
"112th","Feinstein","Dianne","CA","D",-0.65222
"112th","Reed","Jack","RI","D",-0.65399
"112th","Rubio","Marco","FL","R",-0.67835
"112th","Akaka","Daniel","HI","D",-0.71658
"112th","Sessions","Jeff","AL","R",-0.71915
"112th","Coons","Chris","MD","D",-0.75225
"112th","Toomey","Pat","PA","R",-0.75798
"112th","Harkin","Tom","IA","D",-0.77372
"112th","Boxer","Barbara","CA","D",-0.77756
"112th","McCain","John","AZ","R",-0.83075
"112th","Merkley","Jeff","OR","D",-0.83459
"112th","Mikulski","Barbara","MD","D",-0.85122
"112th","Franken","Al","MN","D",-0.8607
"112th","Udall","Tom","NM","D",-0.87324
"112th","Schumer","Chuck","NY","D",-0.89017
"112th","Inouye","Daniel","HI","D",-0.92251
"112th","Casey","Bob","PA","D",-0.92346
"112th","Rockefeller","Jay","WV","D",-0.93095
"112th","Blumenthal","Richard","CT","D",-0.93761
"112th","Vitter","David","LA","R",-0.97178
"112th","Gillibrand","Kirsten","NY","D",-0.98966
"112th","Wicker","Roger","MS","R",-1.01025
"112th","Graham","Lindsey","SC","R",-1.05669
"112th","Murray","Patty","WA","D",-1.05965
"112th","Cornyn","John","TX","R",-1.0794
"112th","Menéndez","Bob","NJ","D",-1.09034
"112th","Inhofe","Jim","OK","R",-1.10199
"112th","Levin","Carl","MI","D",-1.11181
"112th","Chambliss","Saxby","GA","R",-1.13754
"112th","Barrasso","John","WY","R",-1.16826
"112th","Brown","Sherrod","OH","D",-1.19045
"112th","Shelby","Richard","AL","R",-1.21059
"112th","Kyl","Jon","AZ","R",-1.27156
"112th","Hatch","Orrin","UT","R",-1.36047
"112th","Lautenberg","Frank","NJ","D",-1.45787
"112th","Risch","Jim","ID","R",-1.63499
"112th","Sanders","Bernie","VT","D",-1.71773
"112th","Lee","Mike","UT","R",-1.81647
"112th","Paul","Rand","KY","R",-1.90618
"112th","Johnson","Ron","WI","R",-2.00491
"112th","Coats","Dan","IN","R",-2.00828
"112th","DeMint","Jim","SC","R",-2.09564
"112th","Akaka","Daniel","HI","D",-0.71658
"112th","Alexander","Lamar","TN","R",-0.0494
"112th","Ayotte","Kelly","NH","R",-0.40915
"112th","Barrasso","John","WY","R",-1.16826
"112th","Baucus","Max","MT","D",-0.54218
"112th","Begich","Mark","AK","D",0.392413
"112th","Bennet","Michael","CO","D",-0.54173
"112th","Bingaman","Jeff","NM","D",-0.24146
"112th","Blumenthal","Richard","CT","D",-0.93761
"112th","Blunt","Roy","MO","R",0.223598
"112th","Boozman","John","AR","R",0.037841
"112th","Boxer","Barbara","CA","D",-0.77756
"112th","Brown","Scott","MA","R",0.651887
"112th","Brown","Sherrod","OH","D",-1.19045
"112th","Burr","Richard","NC","R",-0.19975
"112th","Cantwell","Maria","WA","D",-0.5206
"112th","Cardin","Ben","MD","D",-0.27569
"112th","Carper","Tom","DE","D",-0.28793
"112th","Casey","Bob","PA","D",-0.92346
"112th","Chambliss","Saxby","GA","R",-1.13754
"112th","Coats","Dan","IN","R",-2.00828
"112th","Coburn","Tom","OK","R",-0.28924
"112th","Cochran","Thad","MS","R",-0.10865
"112th","Collins","Susan","ME","R",1.533183
"112th","Conrad","Kent","ND","D",0.562812
"112th","Coons","Chris","MD","D",-0.75225
"112th","Corker","Bob","TN","R",-0.32468
"112th","Cornyn","John","TX","R",-1.0794
"112th","Crapo","Mike","ID","R",-0.14587
"112th","DeMint","Jim","SC","R",-2.09564
"112th","Durbin","Dick","IL","D",-0.63792
"112th","Enzi","Mike","WY","R",-0.52546
"112th","Feinstein","Dianne","CA","D",-0.65222
"112th","Franken","Al","MN","D",-0.8607
"112th","Gillibrand","Kirsten","NY","D",-0.98966
"112th","Graham","Lindsey","SC","R",-1.05669
"112th","Grassley","Chuck","IA","R",0.728107
"112th","Hagan","Kay","NC","D",-0.45734
"112th","Harkin","Tom","IA","D",-0.77372
"112th","Hatch","Orrin","UT","R",-1.36047
"112th","Heller","Dean","NV","R",-0.42524
"112th","Hoeven","John","ND","R",-0.11976
"112th","Hutchison","Kay","TX","R",-0.29023
"112th","Inhofe","Jim","OK","R",-1.10199
"112th","Inouye","Daniel","HI","D",-0.92251
"112th","Isakson","Johnny","GA","R",-0.03851
"112th","Johanns","Mike","NE","R",-0.3044
"112th","Johnson","Tim","SD","D",-0.04288
"112th","Johnson","Ron","WI","R",-2.00491
"112th","Kerry","John","MA","D",-0.61321
"112th","Kirk","Mark","IL","R",0.627258
"112th","Klobuchar","Amy","MN","D",-0.05525
"112th","Kohl","Herb","WI","D",-0.25333
"112th","Kyl","Jon","AZ","R",-1.27156
"112th","Landrieu","Mary","LA","D",0.318963
"112th","Lautenberg","Frank","NJ","D",-1.45787
"112th","Leahy","Patrick","VT","D",-0.46341
"112th","Lee","Mike","UT","R",-1.81647
"112th","Levin","Carl","MI","D",-1.11181
"112th","Lieberman","Joe","CT","D",0.389837
"112th","Lugar","Richard","IN","R",-0.51131
"112th","Manchin","Joe","WV","D",0.869413
"112th","McCain","John","AZ","R",-0.83075
"112th","McCaskill","Claire","MO","D",0.495112
"112th","Menéndez","Bob","NJ","D",-1.09034
"112th","Merkley","Jeff","OR","D",-0.83459
"112th","Mikulski","Barbara","MD","D",-0.85122
"112th","Moran","Jerry","KS","R",-0.56987
"112th","Murkowski","Lisa","AK","R",1.509344
"112th","Murray","Patty","WA","D",-1.05965
"112th","Nelson","Bill","FL","D",0.226657
"112th","Nelson","Ben","NE","D",0.147509
"112th","Paul","Rand","KY","R",-1.90618
"112th","Portman","Rob","OH","R",0.185773
"112th","Pryor","Mark","AR","D",0.404719
"112th","Reed","Jack","RI","D",-0.65399
"112th","Risch","Jim","ID","R",-1.63499
"112th","Roberts","Pat","KS","R",-0.43788
"112th","Rockefeller","Jay","WV","D",-0.93095
"112th","Rubio","Marco","FL","R",-0.67835
"112th","Sanders","Bernie","VT","D",-1.71773
"112th","Schumer","Chuck","NY","D",-0.89017
"112th","Sessions","Jeff","AL","R",-0.71915
"112th","Shaheen","Jeanne","NH","D",0.198168
"112th","Shelby","Richard","AL","R",-1.21059
"112th","Snowe","Olympia","ME","R",2.081488
"112th","Stabenow","Debbie","MI","D",-0.42837
"112th","Tester","Jon","MT","D",-0.07894
"112th","Thune","John","SD","R",-0.42003
"112th","Toomey","Pat","PA","R",-0.75798
"112th","Udall","Mark","CO","D",-0.19511
"112th","Udall","Tom","NM","D",-0.87324
"112th","Vitter","David","LA","R",-0.97178
"112th","Warner","Mark","VA","D",-0.04552
"112th","Webb","Jim","VA","D",-0.14716
"112th","Whitehouse","Sheldon","RI","D",-0.57005
"112th","Wicker","Roger","MS","R",-1.01025
"112th","Wyden","Ron","OR","D",-0.31321
"111th","Snowe","Olympia","ME","R",2.637516
"111th","Lugar","Richard","IN","R",2.102551
"111th","Collins","Susan","ME","R",2.003958
"111th","Voinovich","George","OH","R",1.96472
"111th","Murkowski","Lisa","AK","R",1.199511
"111th","Grassley","Chuck","IA","R",1.082102
"111th","Conrad","Kent","ND","D",1.021832
"111th","Gregg","Judd","NH","R",0.764227
"111th","Crapo","Mike","ID","R",0.703419
"111th","Cochran","Thad","MS","R",0.685287
"111th","Hatch","Orrin","UT","R",0.551959
"111th","Lincoln","Blanche","AR","D",0.469925
"111th","Bayh","Evan","IN","D",0.444763
"111th","Thune","John","SD","R",0.397185
"111th","Dorgan","Byron","ND","D",0.378719
"111th","Ensign","John","NV","R",0.365479
"111th","Enzi","Mike","WY","R",0.345669
"111th","Brown","Scott","MA","R",0.316876
"111th","Johanns","Mike","NE","R",0.307286
"111th","Nelson","Ben","NE","D",0.295855
"111th","LeMieux","George","FL","R",0.29253
"111th","Burr","Richard","NC","R",0.283684
"111th","Baucus","Max","MT","D",0.19785
"111th","Landrieu","Mary","LA","D",0.195274
"111th","Bond","Kit","MO","R",0.161932
"111th","Lieberman","Joe","CT","D",0.105543
"111th","Nelson","Bill","FL","D",0.104082
"111th","McCaskill","Claire","MO","D",0.089682
"111th","McCain","John","AZ","R",0.056456
"111th","Corker","Bob","TN","R",0.040318
"111th","Brownback","Sam","KS","R",0.012582
"111th","Hutchison","Kay","TX","R",0.008974
"111th","Isakson","Johnny","GA","R",-0.05154
"111th","Brown","Sherrod","OH","D",-0.0545
"111th","Graham","Lindsey","SC","R",-0.10075
"111th","Bingaman","Jeff","NM","D",-0.13293
"111th","Alexander","Lamar","TN","R",-0.1335
"111th","Pryor","Mark","AR","D",-0.13924
"111th","Akaka","Daniel","HI","D",-0.15392
"111th","Leahy","Patrick","VT","D",-0.20408
