country_name,n
China,4095
United States,387
Japan,324
Taiwan,263
India,252
Mexico,234
Brazil,224
Italy,215
Russia,202
Republic of Korea,156
Turkey,131
Bulgaria,125
Colombia,84
Spain,84
Romania,72
France,67
Republic of Lithuania,67
Germany,64
Iran,58
Pakistan,55
United Kingdom,54
Czechia,50
Poland,48
Vietnam,48
Israel,42
Egypt,40
Georgia,40
Bolivia,39
Tunisia,35
Ukraine,35
Philippines,30
Thailand,28
Argentina,27
Sweden,24
Canada,23
Indonesia,20
Hong Kong,19
Chile,18
Morocco,17
Netherlands,16
Australia,14
Republic of Moldova,14
Singapore,14
Belarus,13
South Africa,13
Albania,11
Saudi Arabia,11
Tanzania,11
Bangladesh,10
Costa Rica,10
Portugal,10
Hungary,9
Latvia,9
Serbia,9
Austria,8
Dominican Republic,8
Ecuador,8
Kazakhstan,8
Kenya,8
Madagascar,8
Malaysia,8
Montenegro,8
Palestine,8
Greece,7
Trinidad and Tobago,7
Belgium,6
Ireland,6
Kuwait,6
Nepal,6
Norway,6
Slovak Republic,6
Sudan,6
Venezuela,6
Afghanistan,5
Denmark,5
Guatemala,5
Hashemite Kingdom of Jordan,5
Panama,5
NA,5
Bosnia and Herzegovina,4
Iraq,4
Lebanon,4
Nigeria,4
Paraguay,4
Peru,4
Puerto Rico,4
Armenia,3
Congo,3
Finland,3
Haiti,3
Mauritius,3
Qatar,3
Slovenia,3
Zimbabwe,3
Azerbaijan,2
Bahrain,2
Cambodia,2
Estonia,2
Ethiopia,2
Jamaica,2
Kyrgyzstan,2
Laos,2
Macedonia,2
Malta,2
Mongolia,2
New Zealand,2
Saint Vincent and the Grenadines,2
Switzerland,2
Brunei,1
Croatia,1
Cuba,1
Curaçao,1
Gabon,1
Gibraltar,1
Guam,1
Honduras,1
Kosovo,1
Luxembourg,1
Marshall Islands,1
Nicaragua,1
Oman,1
Republic of the Congo,1
Senegal,1
Seychelles,1
Sint Maarten,1
Swaziland,1
Yemen,1
Zambia,1
