"Date & Time","Dir. Facing","Method","Altitude","Observer","Session Name","Latitude","Longitude"
"2014-01-03 10:34:00","East","Counting","818","","Quadrantids-2014-Jan-03","32.2819","-110.7685"
"2014-01-03 07:00:00","East","Counting","1210","","Quadrantids January 3, TDS","32.6400","-116.3207"
"2014-01-01 16:35:00","South","Counting","36","","Boston sky","42.5039","-71.0723"
"2013-12-28 08:15:00","North","Counting","0","","star with red blue and white flashing","65.0011","-150.6339"
"2013-12-28 21:20:00","West","Counting","4","","Suffolk County Citing","40.9170","-72.6620"
"2013-12-29 06:05:00","East","Counting","8","","John Roe","38.5816","-121.4944"
"2013-12-28 20:25:00","North","Counting","166","","Connie Ritter","35.9828","-86.5186"
"2013-08-12 09:25:00","East","Counting","818","","Perseids","32.2819","-110.7684"
"2013-08-11 09:45:00","East","Counting","818","","Perseids","32.2819","-110.7684"
"2013-08-09 09:57:00","East","Counting","818","","Perseids","32.2819","-110.7684"
"2013-01-03 11:22:00","East","Counting","818","","Quadrantids-2013-Jan-03","32.2819","-110.7684"
"2013-12-14 08:10:00","South","Counting","871","","one","39.8061","-101.0578"
"2013-12-14 10:45:00","East","Counting","818","","Geminids-2013-Dec-14","32.2818","-110.7684"
"2013-12-14 05:02:00","South","Counting","1558","","Geminid","35.1107","-106.6100"
"2013-12-13 10:40:00","East","Counting","818","","Geminids-2013-Dec-13","32.2818","-110.7684"
"2013-12-13 04:30:00","South","Counting","280","","First Report","34.8920","-82.2692"
"2013-12-05 12:26:00","East","Counting","831","","i need to know what is going on","34.5361","-117.2912"
"2013-12-03 18:00:00","North","Counting","5","","Gulf's Sonar Beached Pods","26.6159","-80.0570"
"2013-12-03 17:45:00","East","Counting","2","","Miami streak","25.7907","-80.1300"
"2013-12-01 05:35:00","East","Counting","1020","","Dec. 1, 2013 TDS","32.6636","-116.2738"
"2013-11-29 18:00:00","North","Counting","830","","November 29, 2013","43.5971","-116.2621"
"2013-11-21 01:34:00","North","Counting","102","","Nov 21, 2013 Walk","39.0334","-77.5065"
"2013-11-15 05:30:00","Unsure","Plotting","268","","greenish blue shooting star","45.2741","-93.5914"
"2013-11-08 10:20:00","North","Counting","0","","Road trip","-999.0000","-999.0000"
"2013-11-08 10:20:00","North","Counting","0","","Road trip","-999.0000","-999.0000"
"2013-11-08 10:20:00","North","Counting","0","","Road trip","-999.0000","-999.0000"
"2013-07-29 00:00:00","East","Counting","497","","Delta Aquarids","41.9304","2.2544"
"2013-11-06 08:01:00","East","Counting","368","","Meteor witness 11/6/2013","34.1064","-117.5931"
"2013-11-02 10:12:00","Unsure","Plotting","28","","once a year i saw fireball in my front yard.","48.2932","-122.6432"
"2013-11-02 22:30:00","North","Counting","202","","Random sighting","39.2387","-77.2794"
"2013-10-16 22:47:00","North","Counting","1279","","Blue spray over Davis County, Utah","40.7834","-112.1686"
"2013-10-16 22:47:00","North","Counting","1279","","Blue spray over Davis County, Utah","40.7832","-112.1695"
"2013-10-17 09:00:00","West","Counting","142","","Sheer and strange luck","38.7875","-90.6299"
