cc,routed_unused,unrouted_unused,used,unused_combined,pct_used,pct_unused,pct_lab,used_ct,unused_ct,continent,id
ad,24,0,119,24,0.8321678321678322,0.16783216783216784,16.8%,30464,6144,Europe,AND
ae,2953,975,8326,3928,0.6794516076383221,0.3205483923616778,32.1%,2131456,1005568,Asia,ARE
af,112,165,304,277,0.5232358003442341,0.47676419965576594,47.7%,77824,70912,Asia,AFG
ag,60,29,118,89,0.5700483091787439,0.42995169082125606,43.0%,30208,22784,Americas,ATG
ai,6,2,36,8,0.8181818181818182,0.18181818181818182,18.2%,9216,2048,Americas,AIA
al,407,54,511,461,0.5257201646090535,0.4742798353909465,47.4%,130816,118016,Europe,ALB
am,494,37,1788,531,0.7710219922380336,0.22897800776196636,22.9%,457728,135936,Asia,ARM
ao,2671,22,650,2693,0.1944361352078971,0.8055638647921028,80.6%,166400,689408,Africa,AGO
ap,0,2,7,2,0.7777777777777778,0.2222222222222222,22.2%,1792,512,Asia,NA
aq,16,0,4,16,0.2,0.8,80.0%,1024,4096,Antarctica,ATA
ar,18955,4568,43744,23523,0.6503040123686206,0.34969598763137943,35.0%,11198464,6021888,Americas,ARG
as,5,0,19,5,0.7916666666666666,0.20833333333333334,20.8%,4864,1280,Oceania,ASM
at,17477,3412,23319,20889,0.5274837133550488,0.47251628664495116,47.3%,5969664,5347584,Europe,AUT
au,86043,27106,76659,113149,0.40387654893365926,0.5961234510663407,59.6%,19624704,28966144,Oceania,AUS
aw,47,16,132,63,0.676923076923077,0.3230769230769231,32.3%,33792,16128,Americas,ABW
ax,34,0,114,34,0.7702702702702703,0.22972972972972974,23.0%,29184,8704,Europe,ALA
az,840,40,1839,880,0.6763515998528871,0.32364840014711294,32.4%,470784,225280,Asia,AZE
ba,434,27,2646,461,0.8516253620856131,0.14837463791438688,14.8%,677376,118016,Europe,BIH
bb,103,64,355,167,0.6800766283524904,0.31992337164750956,32.0%,90880,42752,Americas,BRB
bd,1334,394,2062,1728,0.5440633245382586,0.45593667546174144,45.6%,527872,442368,Asia,BGD
be,20248,5461,24327,25709,0.48618994324086656,0.5138100567591334,51.4%,6227712,6581504,Europe,BEL
bf,37,63,125,100,0.5555555555555556,0.4444444444444444,44.4%,32e3,25600,Africa,BFA
bg,4068,801,12023,4869,0.7117570447549135,0.2882429552450864,28.8%,3077888,1246464,Europe,BGR
bh,611,180,999,791,0.5581005586592179,0.44189944134078213,44.2%,255744,202496,Asia,BHR
bi,22,11,18,33,0.35294117647058826,0.6470588235294118,64.7%,4608,8448,Africa,BDI
bj,53,13,120,66,0.6451612903225806,0.3548387096774194,35.5%,30720,16896,Africa,BEN
bl,0,0,2,0,1,0,0.0%,512,0,Americas,BLM
bm,115,86,256,201,0.5601750547045952,0.43982494529540483,44.0%,65536,51456,Americas,BMU
bn,325,262,199,587,0.25318066157760816,0.7468193384223919,74.7%,50944,150272,Asia,BRN
bo,597,487,2080,1084,0.6573957016434893,0.34260429835651074,34.3%,532480,277504,Americas,BOL
bq,24,1,45,25,0.6428571428571429,0.35714285714285715,35.7%,11520,6400,Americas,BES
br,50237,6824,178505,57061,0.7577706460185256,0.2422293539814744,24.2%,45697280,14607616,Americas,BRA
bs,156,19,415,175,0.7033898305084746,0.2966101694915254,29.7%,106240,44800,Americas,BHS
bt,26,9,81,35,0.6982758620689655,0.3017241379310345,30.2%,20736,8960,Asia,BTN
bw,175,21,267,196,0.5766738660907127,0.42332613390928725,42.3%,68352,50176,Africa,BWA
by,667,75,6477,742,0.8972156808422219,0.10278431915777808,10.3%,1658112,189952,Europe,BLR
bz,227,2,339,229,0.596830985915493,0.40316901408450706,40.3%,86784,58624,Americas,BLZ
ca,85359,125310,108940,210669,0.340853980957983,0.659146019042017,65.9%,27888640,53931264,Americas,CAN
cd,31,169,75,200,0.2727272727272727,0.7272727272727273,72.7%,19200,51200,Africa,COD
cf,27,4,12,31,0.27906976744186046,0.7209302325581395,72.1%,3072,7936,Africa,CAF
cg,63,4,157,67,0.7008928571428571,0.29910714285714285,29.9%,40192,17152,Africa,COG
ch,28693,28614,28115,57307,0.3291306689143312,0.6708693310856688,67.1%,7197440,14670592,Europe,CHE
ci,326,11,354,337,0.5123010130246021,0.487698986975398,48.8%,90624,86272,Africa,CIV
ck,8,1,24,9,0.7272727272727273,0.2727272727272727,27.3%,6144,2304,Oceania,COK
cl,7892,4463,21361,12355,0.6335567682999169,0.366443231700083,36.6%,5468416,3162880,Americas,CHL
cm,164,92,315,256,0.5516637478108581,0.44833625218914186,44.8%,80640,65536,Africa,CMR
cn,446343,191304,653125,637647,0.5059956367197305,0.4940043632802695,49.4%,1672e5,163237632,Asia,CHN
co,5945,4260,36811,10205,0.782946231070274,0.21705376892972605,21.7%,9423616,2612480,Americas,COL
cr,2034,703,6720,2737,0.7105847520355293,0.28941524796447077,28.9%,1720320,700672,Americas,CRI
cu,283,32,191,315,0.3774703557312253,0.6225296442687747,62.3%,48896,80640,Americas,CUB
cv,35,0,60,35,0.631578947368421,0.3684210526315789,36.8%,15360,8960,Africa,CPV
cw,320,387,439,707,0.3830715532286213,0.6169284467713787,61.7%,112384,180992,Americas,CUW
cx,1,1,7,2,0.7777777777777778,0.2222222222222222,22.2%,1792,512,Oceania,CXR
cy,578,459,1771,1037,0.6306980056980057,0.3693019943019943,36.9%,453376,265472,Asia,CYP
cz,10704,1234,20449,11938,0.631395312934202,0.368604687065798,36.9%,5234944,3056128,Europe,CZE
de,246129,29630,217568,275759,0.44102187798356873,0.5589781220164313,55.9%,55697408,70594304,Europe,DEU
dj,133,0,57,133,0.3,0.7,70.0%,14592,34048,Africa,DJI
dk,17952,2394,30966,20346,0.6034845650140318,0.3965154349859682,39.7%,7927296,5208576,Europe,DNK
dm,35,4,42,39,0.5185185185185185,0.48148148148148145,48.1%,10752,9984,Americas,DMA
do,1057,76,3075,1133,0.7307509505703422,0.26924904942965777,26.9%,787200,290048,Americas,DOM
dz,4566,1099,4460,5665,0.44049382716049384,0.5595061728395062,56.0%,1141760,1450240,Africa,DZA
ec,1868,418,6583,2286,0.7422482805276807,0.25775171947231934,25.8%,1685248,585216,Americas,ECU
ee,1485,25,3672,1510,0.7086067155538402,0.2913932844461598,29.1%,940032,386560,Europe,EST
eg,15453,576,20709,16029,0.5636942675159236,0.43630573248407645,43.6%,5301504,4103424,Africa,EGY
er,19,0,13,19,0.40625,0.59375,59.4%,3328,4864,Africa,ERI
es,28360,6528,79893,34888,0.6960472552077435,0.30395274479225654,30.4%,20452608,8931328,Europe,ESP
et,58,256,89,314,0.22084367245657568,0.7791563275434243,77.9%,22784,80384,Africa,ETH
eu,209,27,293,236,0.553875236294896,0.44612476370510395,44.6%,75008,60416,Europe,NA
fi,27442,3990,22097,31432,0.4128042743185937,0.5871957256814063,58.7%,5656832,8046592,Europe,FIN
