idx,name,class,start,end,cost,col2,date,date2,mid,monday,year,display_name,label
1,Hurricane Katrina,ind tropical-cyclone-ind,2005-08-25,2005-08-30,160,#397dc2,2005-08-25,2005-08-30,2005-08-27,2017-08-27,2005,Hurricane Katrina,1
2,Hurricane Sandy,ind tropical-cyclone-ind,2012-10-30,2012-10-31,70.2,#397dc2,2012-10-30,2012-10-31,2012-10-30,2017-10-30,2012,Hurricane Sandy,1
3,Hurricane Andrew,ind tropical-cyclone-ind,1992-08-23,1992-08-27,47.8,#397dc2,1992-08-23,1992-08-27,1992-08-25,2017-08-25,1992,Hurricane Andrew,1
4,U.S. Drought/ Heatwave,ind drought-ind,1988-06-01,1988-08-31,42.4,#efba2b,1988-06-01,1988-08-31,1988-07-16,2017-07-16,1988,U.S. Drought/Heatwave,NA
5,Midwest Flooding,ind flooding-ind,1993-06-27,1993-08-15,36.1,#699d8f,1993-06-27,1993-08-15,1993-07-21,2017-07-21,1993,Midwest Flooding,NA
6,Hurricane Ike,ind tropical-cyclone-ind,2008-09-12,2008-09-14,34.8,#397dc2,2008-09-12,2008-09-14,2008-09-13,2017-09-13,2008,Hurricane Ike,1
7,U.S. Drought/ Heatwave,ind drought-ind,2012-01-01,2012-12-31,32.4,#efba2b,2012-01-01,2012-12-31,2012-07-01,2017-07-01,2012,U.S. Drought/Heatwave,NA
8,Central/ Eastern Drought/ Heatwave,ind drought-ind,1980-06-01,1980-11-30,31.6,#efba2b,1980-06-01,1980-11-30,1980-08-31,2017-08-31,1980,Central/Eastern Drought/Heatwave,NA
9,Hurricane Ivan,ind tropical-cyclone-ind,2004-09-12,2004-09-21,27.1,#397dc2,2004-09-12,2004-09-21,2004-09-16,2017-09-16,2004,Hurricane Ivan,1
10,Hurricane Wilma,ind tropical-cyclone-ind,2005-10-24,2005-10-24,24.3,#397dc2,2005-10-24,2005-10-24,2005-10-24,2017-10-24,2005,Hurricane Wilma,1
11,Hurricane Rita,ind tropical-cyclone-ind,2005-09-20,2005-09-24,23.7,#397dc2,2005-09-20,2005-09-24,2005-09-22,2017-09-22,2005,Hurricane Rita,1
12,Hurricane Charley,ind tropical-cyclone-ind,2004-08-13,2004-08-14,21.1,#397dc2,2004-08-13,2004-08-14,2004-08-13,2017-08-13,2004,Hurricane Charley,1
13,Hurricane Hugo,ind tropical-cyclone-ind,1989-09-21,1989-09-22,18.2,#397dc2,1989-09-21,1989-09-22,1989-09-21,2017-09-21,1989,Hurricane Hugo,1
14,Hurricane Irene,ind tropical-cyclone-ind,2011-08-26,2011-08-28,15,#397dc2,2011-08-26,2011-08-28,2011-08-27,2017-08-27,2011,Hurricane Irene,1
15,Southern Plains/ Southwest Drought & Heat Wave,ind drought-ind,2011-03-01,2011-08-31,13.3,#efba2b,2011-03-01,2011-08-31,2011-05-31,2017-05-31,2011,Southern Plains/Southwest Drought & Heat Wave,NA
16,Hurricane Frances,ind tropical-cyclone-ind,2004-09-03,2004-09-09,12.9,#397dc2,2004-09-03,2004-09-09,2004-09-06,2017-09-06,2004,Hurricane Frances,1
17,U.S. Drought,ind drought-ind,2002-03-01,2002-11-30,12.4,#efba2b,2002-03-01,2002-11-30,2002-07-16,2017-07-16,2002,U.S. Drought,NA
18,Tropical Storm Allison,ind tropical-cyclone-ind,2001-06-05,2001-06-17,11.9,#397dc2,2001-06-05,2001-06-17,2001-06-11,2017-06-11,2001,Tropical Storm Allison,1
19,Midwest Flooding,ind flooding-ind,2008-04-01,2008-06-30,11.6,#699d8f,2008-04-01,2008-06-30,2008-05-16,2017-05-16,2008,Midwest Flooding,NA
20,Southeast/ Ohio Valley/ Midwest Tornadoes,ind severe-storm-ind,2011-04-25,2011-04-28,11.3,#9d76b0,2011-04-25,2011-04-28,2011-04-26,2017-04-26,2011,Southeast/Ohio Valley/Midwest Tornadoes,NA
21,Western/ Plains Drought/ Heatwave,ind drought-ind,2013-03-01,2013-11-30,11.1,#efba2b,2013-03-01,2013-11-30,2013-07-16,2017-07-16,2013,Western/Plains Drought/Heatwave,NA
22,Louisiana Flooding,ind flooding-ind,2016-08-12,2016-08-15,10.3,#699d8f,2016-08-12,2016-08-15,2016-08-13,2017-08-13,2016,Louisiana Flooding,NA
23,Hurricane Matthew,ind tropical-cyclone-ind,2016-10-08,2016-10-12,10.3,#397dc2,2016-10-08,2016-10-12,2016-10-10,2017-10-10,2016,Hurricane Matthew,1
24,Midwest/ Southeast Tornadoes,ind severe-storm-ind,2011-05-22,2011-05-27,10.1,#9d76b0,2011-05-22,2011-05-27,2011-05-24,2017-05-24,2011,Midwest/Southeast Tornadoes,NA
25,Hurricane Jeanne,ind tropical-cyclone-ind,2004-09-15,2004-09-29,9.9,#397dc2,2004-09-15,2004-09-29,2004-09-22,2017-09-22,2004,Hurricane Jeanne,1
26,Hurricane Floyd,ind tropical-cyclone-ind,1999-09-14,1999-09-16,9.7,#397dc2,1999-09-14,1999-09-16,1999-09-15,2017-09-15,1999,Hurricane Floyd,1
27,East Coast Blizzard and Severe Weather,ind winter-storm-ind,1993-03-11,1993-03-14,9.5,#61c6e2,1993-03-11,1993-03-14,1993-03-12,2017-03-12,1993,East Coast Blizzard and Severe Weather,NA
28,Hurricane Georges,ind tropical-cyclone-ind,1998-09-20,1998-09-29,9.1,#397dc2,1998-09-20,1998-09-29,1998-09-24,2017-09-24,1998,Hurricane Georges,1
29,South Plains Severe Weather,ind severe-storm-ind,1995-05-05,1995-05-07,8.9,#9d76b0,1995-05-05,1995-05-07,1995-05-06,2017-05-06,1995,South Plains Severe Weather,NA
30,U.S. Drought,ind drought-ind,2008-01-01,2008-12-31,8.1,#efba2b,2008-01-01,2008-12-31,2008-07-01,2017-07-01,2008,U.S. Drought,NA
31,Hurricane Fran,ind tropical-cyclone-ind,1996-09-05,1996-09-08,8,#397dc2,1996-09-05,1996-09-08,1996-09-06,2017-09-06,1996,Hurricane Fran,1
32,Hurricane Opal,ind tropical-cyclone-ind,1995-10-04,1995-10-06,7.6,#397dc2,1995-10-04,1995-10-06,1995-10-05,2017-10-05,1995,Hurricane Opal,1
33,Hurricane Alicia,ind tropical-cyclone-ind,1983-08-17,1983-08-20,7.5,#397dc2,1983-08-17,1983-08-20,1983-08-18,2017-08-18,1983,Hurricane Alicia,1
34,Southeast Drought,ind drought-ind,1983-06-01,1983-08-31,7.4,#efba2b,1983-06-01,1983-08-31,1983-07-16,2017-07-16,1983,Southeast Drought,NA
35,Midwest/ Plains/ Southeast Drought,ind drought-ind,2006-03-01,2006-08-31,7.4,#efba2b,2006-03-01,2006-08-31,2006-05-31,2017-05-31,2006,Midwest/Plains/Southeast Drought,NA
36,Hurricane Isabel,ind tropical-cyclone-ind,2003-09-18,2003-09-19,7.4,#397dc2,2003-09-18,2003-09-19,2003-09-18,2017-09-18,2003,Hurricane Isabel,1
37,Western/ Central/ Southeast Drought/ Heatwave,ind drought-ind,2000-03-01,2000-11-30,7.2,#efba2b,2000-03-01,2000-11-30,2000-07-16,2017-07-16,2000,Western/Central/Southeast Drought/Heatwave,NA
38,Hurricane Gustav,ind tropical-cyclone-ind,2008-08-31,2008-09-03,7,#397dc2,2008-08-31,2008-09-03,2008-09-01,2017-09-01,2008,Hurricane Gustav,1
39,Western/ Central Drought/ Heatwave,ind drought-ind,2003-03-01,2003-11-30,6.7,#efba2b,2003-03-01,2003-11-30,2003-07-16,2017-07-16,2003,Western/Central Drought/Heatwave,NA
40,California Freeze,ind freeze-ind,1990-12-18,1990-12-25,6.5,#61c6e2,1990-12-18,1990-12-25,1990-12-21,2017-12-21,1990,California Freeze,NA
41,Northern Plains Drought,ind drought-ind,1989-06-01,1989-11-30,6.1,#efba2b,1989-06-01,1989-11-30,1989-08-31,2017-08-31,1989,Northern Plains Drought,NA
42,Oakland Firestorm,ind wildfire-ind,1991-10-01,1991-10-31,6,#9b0e11,1991-10-01,1991-10-31,1991-10-16,2017-10-16,1991,Oakland Firestorm,NA
43,Northern Plains Flooding,ind flooding-ind,1997-02-03,1997-05-24,5.7,#699d8f,1997-02-03,1997-05-24,1997-03-30,2017-03-30,1997,Northern Plains Flooding,NA
44,Severe Storms/ Tornadoes,ind severe-storm-ind,2003-05-03,2003-05-10,5.6,#9d76b0,2003-05-03,2003-05-10,2003-05-06,2017-05-06,2003,Severe Storms/Tornadoes,NA
45,U.S. Drought,ind drought-ind,1991-03-01,1991-08-31,5.5,#efba2b,1991-03-01,1991-08-31,1991-05-31,2017-05-31,1991,U.S. Drought,NA
46,Hurricane Iniki,ind tropical-cyclone-ind,1992-09-11,1992-09-12,5.5,#397dc2,1992-09-11,1992-09-12,1992-09-11,2017-09-11,1992,Hurricane Iniki,1
47,Southern Drought/ Heat Wave,ind drought-ind,1998-06-01,1998-08-31,5.4,#efba2b,1998-06-01,1998-08-31,1998-07-16,2017-07-16,1998,Southern Drought/Heat Wave,NA
48,California Wildfires,ind wildfire-ind,2003-09-01,2003-11-30,5.3,#9b0e11,2003-09-01,2003-11-30,2003-10-16,2017-10-16,2003,California Wildfires,NA
49,Southeast Ice Storm,ind winter-storm-ind,1994-02-08,1994-02-13,5,#61c6e2,1994-02-08,1994-02-13,1994-02-10,2017-02-10,1994,Southeast Ice Storm,NA
50,"Freeze, Cold Wave",ind freeze-ind,1983-12-15,1983-12-25,5,#61c6e2,1983-12-15,1983-12-25,1983-12-20,2017-12-20,1983,"Freeze, Cold Wave",NA
51,Blizzard/ Floods,ind winter-storm-ind,1996-01-01,1996-01-31,4.8,#61c6e2,1996-01-01,1996-01-31,1996-01-16,2017-01-16,1996,Blizzard/Floods,NA
