Sample Number,Date Submitted,Analysis (Lead),Lead (pbb),Analysis (Copper,Copper (ppb),Street #,Street Name,City,Zip Code
LG07760,2/2/2016,Lead,7,Copper,0,2417,ADAIR ST,FLINT,48506
LG02976,1/24/2016,Lead,5,Copper,0,2025,ADAMS,FLINT,48505
LG06298,1/30/2016,Lead,1,Copper,0,2118,ADAMS,FLINT,48505
LG05008,1/27/2016,Lead,2,Copper,0,1902,ADAMS AVE,FLINT,48505
LG05252,1/27/2016,Lead,5,Copper,0,1902,ADAMS AVE,FLINT,48505
LG02548,1/22/2016,Lead,0,Copper,90,2009,ADAMS AVE,FLINT,48505
LG03070,1/24/2016,Lead,3,Copper,90,2021,ADAMS AVE,FLINT,48505
LG02803,1/23/2016,Lead,14,Copper,140,2105,ADAMS AVE,FLINT,48505
LG04604,1/26/2016,Lead,1,Copper,60,2306,ADAMS AVE,FLINT,48505
LG04221,1/26/2016,Lead,10,Copper,0,2309,ADAMS AVE,FLINT,48505
LG05006,1/27/2016,Lead,4,Copper,110,2305,ADAMS AVENUE,FLINT,48505
LG02094,1/21/2016,Lead,0,Copper,60,801,ADDISON ST,FLINT,48505
LG08329,2/3/2016,Lead,8,Copper,0,921,ADDISON ST #1,FLINT,48505
LG08330,2/3/2016,Lead,13,Copper,90,742,ADDISON ST/ PO BOX 13347,FLINT,48505
LG01857,1/21/2016,Lead,3,Copper,0,921,ADDISON STREET #1,FLINT,48505
LG01866,1/21/2016,Lead,62,Copper,"7,200",921,ADDISON STREET #2,FLINT,48505
LG00979,1/20/2016,Lead,0,Copper,0,2121,AGLENDALE,FLINT,48503
LG00532,1/19/2016,Lead,0,Copper,0,2927,AGREE AVE,FLINT,48506
LG00974,1/20/2016,Lead,0,Copper,0,2927,AGREE AVE,FLINT,48506
LG07013,2/1/2016,Lead,1,Copper,100,2975,AGREE AVE,FLINT,48506
LG04376,1/26/2016,Lead,0,Copper,0,3008,AIRPARK DR SOUTH,FLINT,48532
LG02231,1/21/2016,Lead,0,Copper,0,2050,AITKEN,FLINT,48503
LG04062,1/26/2016,Lead,0,Copper,0,2006,AITKEN AVE,FLINT,48503
LG07702,2/2/2016,Lead,1,Copper,110,1914,ALBERT ST,FLINT,48505
LG02784,1/23/2016,Lead,0,Copper,110,3090,ALCOTT AVE,FLINT,48506
LG05673,1/28/2016,Lead,0,Copper,0,3605,ALDON LA,FLINT,48506
LG02541,1/22/2016,Lead,0,Copper,70,3610,ALDON LANE,FLINT,48506-2680
LG01517,1/21/2016,Lead,0,Copper,160,3702,ALDON LANE,FLINT,48506
LG07081,2/1/2016,Lead,0,Copper,0,3705,ALDON LANE,FLINT,48506
LG01557,1/21/2016,Lead,0,Copper,0,3706,ALDON LANE,FLINT,48506
LG05615,1/28/2016,Lead,0,Copper,0,3701,ALDON LN,FLINT,48506
