"pk_device","fk_devicetype","name","lat","lon","fk_region"
"1","1","Preneste","41.886017","12.541614","7"
"2","2","Frosinone Mazzini","41.639668","13.348913","7"
"3","2","Francia","41.94745","12.469588","7"
"4","2","Magna Grecia","41.883064","12.508939","7"
"5","1","Cinecitta","41.85772","12.568665","7"
"6","3","Colleferro-Oberdan","41.73084","13.00435","7"
"7","3","Colleferro-Europa","41.72501","13.009575","7"
"8","4","Allumiere","42.15774","11.908744","7"
"9","1","Civitavecchia","42.09163","11.802466","7"
"10","2","Civ. Via Roma","42.094147","11.795509","7"
"11","2","Rieti 1","42.404095","12.858224","7"
"12","2","Civ. Via Morandi","42.086803","11.806498","7"
"13","5","Guidonia","41.995678","12.726371","7"
"14","2","Via Tasso","41.464024","12.913039","7"
"15","2","Civ. Villa Albani","42.09936","11.798061","7"
"16","1","Aprilia 2","41.595345","12.653581","7"
"17","2","Ceccano","41.57","13.33719","7"
"18","1","Anagni","41.75","13.149685","7"
"19","2","Ferentino","41.69","13.250411","7"
"20","1","Civita Castellana 2","42.289154","12.414958","7"
"21","1","Alatri","41.73","13.338333","7"
"22","2","Viterbo","42.42206","12.109125","7"
"23","1","Villa Ada","41.932873","12.506971","7"
"24","4","Fontechiari","41.67","13.674472","7"
"25","4","Leonessa","42.572594","12.961982","7"
"26","4","Castel di Guido","41.88944","12.2663","7"
"27","6","Cavaliere","41.929382","12.658363","7"
"28","2","Fermi","41.864193","12.469531","7"
"29","2","Ciampino","41.79788","12.607033","7"
"30","2","Latina-Scalo","41.53143","12.946064","7"
"31","1","Cipro","41.906357","12.447596","7"
"32","1","Bufalotta","41.947647","12.533682","7"
"33","2","Tiburtina","41.910255","12.54887","7"
"34","2","Cassino","41.49","13.83069","7"
"35","4","Acquapendente","42.73665","11.876578","7"
"36","6","Malagrotta","41.874893","12.345598","7"
"37","1","Arenula","41.89402","12.475368","7"
"38","1","Gaeta","41.2231","13.5703","7"
"39","2","Frosinone Scalo","41.62","13.33081","7"
"40","2","Viale De Chirico","41.451107","12.89288","7"
"41","7","Civ. Porto","42.097054","11.788354","7"
"42","8","FI-Bassi","43.776836","11.199821","16"
"43","8","FI-Boboli","43.76234","11.24848","16"
"44","2","FI-Gramsci","43.774605","11.27058","16"
"45","2","FI-Mosse","43.782993","11.233773","16"
"46","9","FI-Settignano","43.78624","11.327241","16"
