"lead_ppb","StreetAddress","City","State","ZIP","Latitude","Longitude","CensusYear","CensusPlaceFips","CensusMsaFips","CensusMetDivFips","CensusMcdFips","CensusCbsaMicro","CensusCbsaFips","CensusBlock","CensusBlockGroup","CensusTract","CensusCountyFips","CensusStateFips"
0,"1400 SUNCREST DR APT 2","FLINT","MI",48504,43.0290743278957,-83.7437276436679,"TwoThousandTen",NA,870,NA,29020,0,22420,2025,2,108.12,49,26
0,"114 W RUTH AVE","FLINT","MI",48505,43.0702572851004,-83.7063849488146,"TwoThousandTen",29000,2162,NA,29000,0,22420,3005,3,2,49,26
0,"1517 HUGHES AVE","FLINT","MI",48503,42.9990879546233,-83.7269092143835,"TwoThousandTen",29000,2162,NA,29000,0,22420,4011,4,36,49,26
0,"2608 WALTER ST","FLINT","MI",48504,43.0397256264667,-83.7263484175147,"TwoThousandTen",29000,2162,NA,29000,0,22420,2014,2,9,49,26
0,"2801 CIRCLE DR","FLINT","MI",48507,42.9976234345229,-83.6646824742086,"TwoThousandTen",29000,2162,NA,29000,0,22420,1014,1,33,49,26
0,"633 W HOME AVE","FLINT","MI",48505,43.0670199262335,-83.7132512705596,"TwoThousandTen",29000,2162,NA,29000,0,22420,1002,1,4,49,26
0,"3202 BEECHWOOD AVE","FLINT","MI",48506,43.0388692351251,-83.6477115585431,"TwoThousandTen",29000,2162,NA,29000,0,22420,1017,1,27,49,26
0,"1820 HOSLER ST","FLINT","MI",48503,43.0093621653834,-83.645466475144,"TwoThousandTen",29000,2162,NA,29000,0,22420,2044,2,31,49,26
0,"1122 BARRINGTON DR","FLINT","MI",48503,43.0149855928797,-83.6400133045092,"TwoThousandTen",29000,2162,NA,29000,0,22420,2031,2,31,49,26
0,"2005 TUSCOLA ST","FLINT","MI",48503,43.0248558286121,-83.6641646011604,"TwoThousandTen",29000,2162,NA,29000,0,22420,1001,1,30,49,26
0,"3725 KENT ST","FLINT","MI",48503,43.0078637457522,-83.6385192766721,"TwoThousandTen",29000,2162,NA,29000,0,22420,1003,1,31,49,26
0,"3202 DEARBORN AVE","FLINT","MI",48507,42.9937162714143,-83.6602282871871,"TwoThousandTen",29000,2162,NA,29000,0,22420,1020,1,33,49,26
0,"3428 RANGELEY ST","FLINT","MI",48503,43.0179548838865,-83.6407151191642,"TwoThousandTen",29000,2162,NA,29000,0,22420,2019,2,31,49,26
0,"702 VERMILYA AVE","FLINT","MI",48507,42.9917562051852,-83.6859141944975,"TwoThousandTen",29000,2162,NA,29000,0,22420,2012,2,40,49,26
0,"3632 GLOUCESTER ST","FLINT","MI",48503,43.0068202295937,-83.6406554016313,"TwoThousandTen",29000,2162,NA,29000,0,22420,1011,1,31,49,26
0,"2610 M L KING AVE","FLINT","MI",48505,43.062702,-83.692479,"TwoThousandTen",29000,2162,NA,29000,0,22420,2030,2,17,49,26
0,"615 STONE ST","FLINT","MI",48503,43.0186571809269,-83.7008920653967,"TwoThousandTen",29000,2162,NA,29000,0,22420,2018,2,15,49,26
0,"607 E 2ND AVE APT 514","FLINT","MI",48502,43.0202193350253,-83.694239166977,"TwoThousandTen",29000,2162,NA,29000,0,22420,2015,2,28,49,26
0,"2406 PIERCE ST","FLINT","MI",48503,43.0175790905997,-83.6588821658767,"TwoThousandTen",29000,2162,NA,29000,0,22420,3012,3,30,49,26
0,"607 E 2ND AVE APT 514","FLINT","MI",48502,43.0202193350253,-83.694239166977,"TwoThousandTen",29000,2162,NA,29000,0,22420,2015,2,28,49,26
0,"2528 WINONA ST","FLINT","MI",48504,43.0388045251316,-83.7283521752363,"TwoThousandTen",29000,2162,NA,29000,0,22420,1013,1,9,49,26
0,"4418 BILLINGS ST","FLINT","MI",48505,43.0554080976483,-83.6926158757013,"TwoThousandTen",29000,2162,NA,29000,0,22420,1040,1,20,49,26
0,"4408 CUTHBERTSON ST","FLINT","MI",48507,42.9840767161504,-83.6805110889928,"TwoThousandTen",29000,2162,NA,29000,0,22420,1024,1,35,49,26
0,"2528 WINONA ST","FLINT","MI",48504,43.0388045251316,-83.7283521752363,"TwoThousandTen",29000,2162,NA,29000,0,22420,1013,1,9,49,26
0,"5306 GRANVILLE AVE","FLINT","MI",48505,43.0619082359112,-83.7123300562217,"TwoThousandTen",29000,2162,NA,29000,0,22420,1004,1,4,49,26
0,"4618 EDWARDS AVE","FLINT","MI",48505,43.0566598490651,-83.7145685128557,"TwoThousandTen",29000,2162,NA,29000,0,22420,3006,3,5,49,26
0,"801 ADDISON ST # A","FLINT","MI",48505,43.0492620481619,-83.690474424796,"TwoThousandTen",29000,2162,NA,29000,0,22420,2009,2,20,49,26
0,"5031 BRANCH RD","FLINT","MI",48506,43.0605974453239,-83.6509017057636,"TwoThousandTen",29000,2162,NA,29000,0,22420,3022,3,19,49,26
0,"3018 CHEROKEE AVE","FLINT","MI",48507,42.9948247345195,-83.658205198536,"TwoThousandTen",29000,2162,NA,29000,0,22420,1018,1,33,49,26
0,"4805 FENTON RD","FLINT","MI",48507,42.970942,-83.703232,"TwoThousandTen",NA,870,NA,29020,0,22420,4001,4,110.1,49,26
0,"3741 NORWOOD DR","FLINT","MI",48503,43.0121087571729,-83.7317167464231,"TwoThousandTen",29000,2162,NA,29000,0,22420,4008,4,16,49,26
0,"2211 WINDEMERE AVE","FLINT","MI",48503,43.0199071186869,-83.6609962594814,"TwoThousandTen",29000,2162,NA,29000,0,22420,2021,2,30,49,26
0,"2002 HILLS ST","FLINT","MI",48503,43.0167917758693,-83.6638767165583,"TwoThousandTen",29000,2162,NA,29000,0,22420,3004,3,30,49,26
0,"3805 E COURT ST","FLINT","MI",48506,43.0187865605915,-83.6363568317145,"TwoThousandTen",29000,2162,NA,29000,0,22420,2016,2,31,49,26
0,"3115 LAWNDALE AVE","FLINT","MI",48504,43.0438869136062,-83.7194825021502,"TwoThousandTen",29000,2162,NA,29000,0,22420,3004,3,9,49,26
0,"1515 TULANE CIR","FLINT","MI",48503,43.0298732140128,-83.6882654668439,"TwoThousandTen",29000,2162,NA,29000,0,22420,1023,1,136,49,26
0,"1714 BARBARA DR","FLINT","MI",48504,43.0684825795723,-83.7258691813643,"TwoThousandTen",29000,2162,NA,29000,0,22420,1012,1,1,49,26
0,"1401 S DORT HWY","FLINT","MI",48503,43.0134678306108,-83.6542500580599,"TwoThousandTen",29000,2162,NA,29000,0,22420,2026,2,31,49,26
0,"1826 BARKS ST","FLINT","MI",48503,43.0089241397615,-83.6608949915316,"TwoThousandTen",29000,2162,NA,29000,0,22420,3011,3,32,49,26
0,"3418 SANTA CLARA CT","FLINT","MI",48504,43.0283383865257,-83.7402238082102,"TwoThousandTen",29000,2162,NA,29000,0,22420,1009,1,13,49,26
0,"2617 PINETREE DR","FLINT","MI",48507,42.9988246412837,-83.660633239487,"TwoThousandTen",29000,2162,NA,29000,0,22420,1004,1,33,49,26
0,"1301 KIRK AVE","FLINT","MI",48503,43.0253851471628,-83.7115213542574,"TwoThousandTen",29000,2162,NA,29000,0,22420,1005,1,15,49,26
0,"3514 NORWOOD DR","FLINT","MI",48503,43.0105533100851,-83.7294388615446,"TwoThousandTen",29000,2162,NA,29000,0,22420,5008,5,16,49,26
0,"2501 BAGLEY ST","FLINT","MI",48504,43.0208829511523,-83.7229718920548,"TwoThousandTen",29000,2162,NA,29000,0,22420,1006,1,16,49,26
0,"3022 MONTANA AVE","FLINT","MI",48506,43.0441199051277,-83.6518722559958,"TwoThousandTen",29000,2162,NA,29000,0,22420,1018,1,24,49,26
0,"1401 S DORT HWY","FLINT","MI",48503,43.0134678306108,-83.6542500580599,"TwoThousandTen",29000,2162,NA,29000,0,22420,2026,2,31,49,26
0,"3810 CLAIRMONT ST","FLINT","MI",48532,42.9974536192078,-83.7355332997937,"TwoThousandTen",29000,2162,NA,29000,0,22420,3015,3,36,49,26
0,"4217 CUTHBERTSON ST","FLINT","MI",48507,42.9853363684211,-83.6803639845173,"TwoThousandTen",29000,2162,NA,29000,0,22420,1014,1,35,49,26
0,"3705 CLAIRMONT ST","FLINT","MI",48532,42.997318366853,-83.7343209480077,"TwoThousandTen",29000,2162,NA,29000,0,22420,3017,3,36,49,26
0,"1217 WALDMAN AVE","FLINT","MI",48507,42.9890015038443,-83.696417788461,"TwoThousandTen",29000,2162,NA,29000,0,22420,1006,1,135,49,26
0,"4222 RED ARROW RD","FLINT","MI",48507,42.9855345518014,-83.6685195056205,"TwoThousandTen",29000,2162,NA,29000,0,22420,2003,2,35,49,26
0,"2738 SWAYZE ST","FLINT","MI",48503,43.0020004719091,-83.7235796798043,"TwoThousandTen",29000,2162,NA,29000,0,22420,4000,4,36,49,26
0,"1901 PENBROOK LN","FLINT","MI",48507,42.9871069404201,-83.7111024399584,"TwoThousandTen",29000,2162,NA,29000,0,22420,5008,5,135,49,26
0,"3817 BEECHWOOD AVE","FLINT","MI",48506,43.0393702471697,-83.637607589032,"TwoThousandTen",29000,2162,NA,29000,0,22420,2009,2,27,49,26
