"Proposta","Processo","Endereço","Distrito","Área Terreno (m2)","Área Excedente (m2)","Valor Contrapartida (R$)"
"1","2002-0.148.242-4","R. DOMINGOS LOPES DA SILVA X  R. CORNÉLIO VAN CLEVE","VILA ANDRADE","0,00","1.551,14","127.875,98"
"2","2003-0.129.667-3","AV. DR. JOSÉ HIGINO, 200 E 216","AGUA RASA","0,00","3.552,13","267.075,77"
"3","2003-0.065.011-2","R. ALIANÇA LIBERAL, 980 E 990","VILA LEOPOLDINA","0,00","624,99","70.212,93"
"4","2003-0.165.806-0","R. ALIANÇA LIBERAL, 880 E 886","VILA LEOPOLDINA","0,00","395,64","44.447,18"
"5","2003-0.139.053-0","R. DR. JOSÉ DE ANDRADE FIGUEIRA, 111","VILA ANDRADE","0,00","719,68","41.764,46"
"6","2003-0.200.692-0","R. JOSÉ DE JESUS, 66","VILA SONIA","0,00","446,52","85.152,92"
"7","2002-0.299.193-4","R. TAMANDARÉ, 1007","LIBERDADE","0,00","990,04","327.386,42"
"8","2003-0.229.980-3","R. MADRE DE DEUS, 217 E 227","MOOCA","0,00","329,01","32.276,47"
"9","2003-0.046.032-1","R. DONA BRÍGIDA, 625","VILA MARIANA","0,00","1.044,63","196.485,60"
"10","2003-0.322.093-3","R  JORGE AMERICANO 00255 255A E 257FDS","LAPA","1.467,00","1.449,90","172.952,77"
"11","2003-0.163.008-5","R. PAULA NEI, 486, 480 E 472","VILA MARIANA","0,00","749,92","172.201,12"
"12","2002-0.154.981-2","R  JOAO ANES 00152","LAPA","763,75","381,83","34.306,28"
"13","2003-0.227.258-1","R  BARONESA DE ITU 00858","SANTA CECILIA","653,12","142,51","43.546,07"
"14","2003-0.147.866-6","R  SOCRATES 00335 CS 1","CAMPO GRANDE","4.808,97","2.392,51","285.306,82"
"15","2003-0.284.601-4","R  WILLIS ROBERTO BANKS 00401","SAO DOMINGOS","5.200,00","2.599,35","176.781,79"
"16","2002-0.141.511-5","AV DOUTOR ALTINO ARANTES 99999","SAUDE","1.800,00","899,77","211.673,14"
"17","2003-0.295.291-4","R. GAL. GOES MONTEIRO X R. ESTEVÃO BARBOSA, S/ N°","PERDIZES","0,00","1.073,00","151.827,35"
"18","2003-0.252.181-6","R  ITAPRIAS 00000","VILA MARIANA","1.448,00","723,70","146.015,16"
"19","2003-0.248.921-1","R  CARAVELAS 00113 115 E 117","VILA MARIANA","1.300,00","648,98","179.172,99"
"20","2003-0.149.805-5","R  SANTO EGIDIO 00310 314","SANTANA","1.515,47","752,86","87.164,25"
"21","2003-0.278.522-8","R  MARCOS FERNANDES 00114 122 124 E 124FD","CURSINO","2.848,86","961,20","122.544,35"
"22","2003-0.245.601-1","AV CHIBARAS 00524","MOEMA","499,00","799,21","213.988,48"
"23","2003-0.075.698-0","R  INGA 00171 CASAS 1 A 13","MANDAQUI","958,00","169,04","19.968,86"
"24","2003-0.255.819-1","R  DOUTOR MIRANDA DE AZEVEDO 00706","LAPA","1.100,00","1.074,59","180.747,11"
"25","2003-0.152.423-4","R  DOUTOR LUIS CARLOS 01137","VILA MATILDE","1.239,90","573,28","33.248,81"
"26","2003-0.291.548-2","R  SENA MADUREIRA 00542","VILA MARIANA","1.929,76","964,86","326.525,99"
"27","2003-0.116.953-1","R  ARTUR THIRE 00693","SAUDE","400,00","79,70","15.214,53"
"28","2003-0.220.292-3","R  MONSENHOR PASSALAQUA 00212","BELA VISTA","874,60","508,98","155.599,00"
"29","2003-0.204.307-8","R  ARRUDA ALVIM 00283 293297301","JARDIM PAULISTA","3.480,00","1.737,16","696.076,54"
"30","2003-0.324.013-6","R  HENRIQUE BRAGLIA 00257","TUCURUVI","1.800,00","898,90","73.409,57"
"31","2003-0.207.818-1","PC ITUZAINGO 00110","AGUA RASA","1.122,34","802,87","101.769,79"
"32","2003-0.231.136-6","AV NOSSA SENHORA DO O 00827 LT 55 QD 1","LIMAO","3.388,97","115,41","11.804,60"
"33","2002-0.096.980-0","R  MANOEL CARNEIRO SILVA 00146","CURSINO","1.668,00","830,07","82.296,88"
"34","2002-0.303.174-8","R  ANTONIO CAMARDO 00618","TATUAPE","1.832,33","1.053,32","214.330,61"
"35","2003-0.322.914-0","R DOUTOR BACELAR 00395","VILA MARIANA","2.412,34","2.330,69","467.790,46"
"36","2003-0.322.915-9","R DOUTOR BACELAR 00317","VILA MARIANA","1.959,90","1.916,54","384.666,83"
"37","2003-0.322.089-5","R CEL MELO DE OLIVEIRA 00327","PERDIZES","1.063,75","1.063,61","179.369,32"
"38","2003-0.284.597-2","R MONTE ALEGRE 01240","PERDIZES","1.885,00","942,50","410.493,62"
"39","2003-0.330.358-8","R  AFONSO DE FREITAS 00468","VILA MARIANA","1.622,00","1.620,98","641.382,88"
"40","2002-0.050.370-3","R  BARBARA HELIODORA 00055","LAPA","1.018,00","509,00","90.978,66"
"41","2002-0.137.185-1","R  JOSE RAMON URTIZA 99999 LT 13 QD 82 VL A","VILA ANDRADE","7.170,80","3.548,66","441.414,27"
